tconst,primaryTitle,_c0,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,primaryTitleFormatted,oscar_noms,oscar_wins,razzie_noms,razzie_wins,budget,genres,genres_meta,language,popularity,revenue,movie_id,Rank,Worldwide,Domestic,Foreign,hasRemake,title_language,isEN
tt1754029,The Crypt of Count Dracoola,6949,Kutsal Damacana 3: Dracoola,2011,"",89,1905.0,false,the crypt of count dracoola,"","","","","","","","","","","","","","","",0,so,false
tt0319524,How to Deal,4279,"",2003,"",101,"",false,how to deal,"","","","","","","['Drama', 'Comedy', 'Romance']",['English'],"","",tt0319524,165,1.4390329E7,1.4195227E7,195102.0,0,en,true
tt5894778,Lớúisé by thé Shớré,9120,"","",2016,75,1021.0,true,louise by the shore,"","","","","","","","","","","","","","","",0,en,true
tt2566016,The Laughing Mask,7717,The Laughing Mask,2014,"",101,1100.0,false,the laughing mask,"","","","","","","","","","","","","","","",0,en,true
tt0037614,The Corn Is Green,383,The Corn Is Green,1945,"",115,2845.0,true,the corn is green,2,"","","","","","","","","","","","","","",0,en,true
tt2378191,The Haunting of Helena,7585,"",2012,"",84,4959.0,false,the haunting of helena,"","","","","","","","","","","","","","","",0,en,true
tt0025318,It's a Gift,137,It's a Gift,1934,"",68,5252.0,true,it's a gift,"","","","","","","","","","","","","","","",0,en,true
tt4328934,Taramani,8535,"",2017,"",150,1542.0,true,taramani,"","","","","","","","","","","","","","","",0,id,false
tt0286009,Les rois mages,4119,"",2001,"",102,2221.0,false,les rois mages,"","","","","","","","","","","",163,1.170202E7,"",1.170202E7,0,fr,false
tt1543459,Wár Gámés,6641,"",2011,"",93,1331.0,false,war games,"","","","","","","","","","","","","","","",0,so,false
tt0415679,Boy Eats Girl,4759,"","",2005,80,3897.0,false,boy eats girl,"","","","","","","","","","","","","","","",0,en,true
tt4797160,Larceny,8700,"",2017,"",87,1029.0,false,larceny,"","","","","","","","","","","","","","","",0,ca,false
tt3447364,Detective Byomkesh Bakshy!,8114,Detective Byomkesh Bakshy!,2015,"",139,22434.0,true,detective byomkesh bakshy!,"","","","","","","","","","","","","","","",0,en,true
tt5580392,Amateur,8987,Amateur,2018,"",96,4153.0,false,amateur,"","","","","","","","","","","","","","","",0,fr,false
tt0110052,Hong Kong 97,2926,"",1994,"",91,1131.0,false,hong kong 97,"","","","","","","","","","","","","","","",0,tl,false
tt0192949,Stardom,3708,"",2000,"",100,1724.0,false,stardom,"","","","","","","['Drama', 'Comedy']","['English', 'French']","","",tt0192949,"","","","",0,sv,false
tt0409182,Poseidon,4731,"","",2006,98,"",false,poseidon,1,"","","",160000000,Adventure Action Drama Thriller,"['Action', 'Adventure', 'Thriller']",['English'],6.581669,"",tt0409182,22,1.81674817E8,6.0674817E7,1.21E8,0,es,false
tt6149936,The Lullaby,9205,Siembamba,"",2017,86,2075.0,false,the lullaby,"","","","","","",['Horror'],['English'],"","",tt6149936,"","","","",0,sw,false
tt0062898,Doctor Faustus,1195,"",1967,"",93,1072.0,false,doctor faustus,"","","","","","","","","","","","","","","",0,ro,false
tt0052286,Terror from the Year 5000,772,Terror from the Year 5000,1958,"",66,1401.0,false,terror from the year 5000,"","","","","","","","","","","","","","","",0,en,true
tt11618350,Nemesis,5991,"",2021,"",88,1049.0,false,nemesis,"","","","","","","","","","","","","","","",0,et,false
tt2106671,Beyond the Hill,7306,Tepenin Ardi,2012,"",94,3482.0,true,beyond the hill,"","","","","","","","","","","","","","","",0,id,false
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),7714,Birdman or (The Unexpected Virtue of Ignorance),2014,"",119,606327.0,true,birdman or (the unexpected virtue of ignorance),9,4,"","",18000000,Drama Comedy,"['Drama', 'Comedy']",['English'],18.193262,"",tt2562232,73,1.03215094E8,4.2340598E7,6.0874496E7,0,en,true
tt5473090,Swinging Safari,8945,Swinging Safari,2018,"",97,2423.0,false,swinging safari,"","","","","","","['Drama', 'Comedy']",['English'],"","",tt5473090,"","","","",0,tl,false
tt2150209,My Grandfather's People,7343,Dedemin Insanlari,2011,"",126,"",true,my grandfather's people,"","","","",0,Comedy Drama Family History,"","",1.391176,"",tt2150209,"","","","",0,tr,false
tt2401223,Richard Pryor: Omit the Logic,7614,"",2013,"",83,1595.0,true,richard pryor: omit the logic,"","","","","","","","","","","","","","","",0,en,true
tt8787632,Tyger Tyger,9824,Tyger Tyger,2021,"",92,2138.0,false,tyger tyger,"","","","","","","","","","","","","","","",0,da,false
tt0094226,The Untouchables,2373,"",1987,"",119,297505.0,true,the untouchables,4,1,"","",25000000,Crime Drama History Thriller,"['Drama', 'History', 'Thriller', 'Crime']",['English'],11.062203,"",tt0094226,6,7.6270454E7,7.6270454E7,"",0,en,true
tt0473360,Goal II: Living the Dream,5059,Goal II: Living the Dream,2007,"",115,"",false,goal ii: living the dream,"","","","","","","","","","","","","","","",0,en,true
tt0104187,Encino Man,2722,"",1992,"",88,39238.0,false,encino man,"","","","",0,Comedy Family,['Comedy'],['English'],8.000189,"",tt0104187,39,4.0693477E7,4.0693477E7,"",0,es,false
tt6348454,Adhe Kangal,9266,Adhe Kangal,2017,"",120,1146.0,true,adhe kangal,"","","","","","","","","","","","","","","",0,tl,false
tt8054066,White as Snow,9673,"",2019,"",112,1037.0,false,white as snow,"","","","","","","","","","","","","","","",0,en,true
tt11433696,Solo Brathuke So Better,5938,"",2020,"",122,1317.0,false,solo brathuke so better,"","","","","","","","","","","","","","","",0,no,false
tt0337689,Christmas on the Nile,4349,Natale sul Nilo,2002,"",100,1585.0,false,christmas on the nile,"","","","","","","","","","","",116,2.9320869E7,"",2.9320869E7,0,ro,false
tt11604676,Nayattu,5984,Nayattu,2021,"",124,5979.0,true,nayattu,"","","","","","","","","","","","","","","",0,tl,false
tt0065772,Claire's Knee,1292,"",1970,"",105,10540.0,true,claire's knee,"","","","","","","","","","","","","","","",0,en,true
tt0075793,We All Loved Each Other So Much,1650,"","",1974,124,6166.0,true,we all loved each other so much,"","","","","","","","","","","","","","","",0,en,true
tt0034890,In This Our Life,318,"",1942,"",97,4742.0,true,in this our life,"","","","","","","","","","","","","","","",0,en,true
tt2381111,Brớớklyn,7588,Brooklyn,"",2015,117,137644.0,true,brooklyn,3,"","","",11000000,Drama Romance,"['Drama', 'Comedy', 'Romance']",['English'],7.991613,"",tt2381111,113,6.2076141E7,3.8322743E7,2.3753398E7,0,af,false
tt0036152,Thé Mémphis Béllé: Á Stớry ớf á Flying Fớrtréss,345,The Memphis Belle: A Story of a Flying Fortress,"",1944,45,1606.0,true,the memphis belle: a story of a flying fortress,"","","","","","","","","","","","","","","",0,en,true
tt0015881,Greed,36,"",1924,"",140,9649.0,true,greed,"","","","","","","","","","","","","","","",0,af,false
tt5941692,Miss Bala,9135,Miss Bala,"",2019,104,10560.0,false,miss bala,"","","","","","","['Action', 'Drama', 'Thriller']",['English'],"","",tt5941692,"","","","",0,id,false
tt0091166,Hands of Steel,2228,"",1986,"",94,2462.0,false,hands of steel,"","","","","","","","","","","","","","","",0,en,true
tt0965649,Detective Conan: The Fourteenth Target,5526,Meitantei Conan: 14 banme no target,"",1998,99,2278.0,true,detective conan: the fourteenth target,"","","","","","","","","","","","","","","",0,it,false
tt1402488,Happy Feet Two,6436,"",2011,"",117,43646.0,false,happy feet two,"","","","",130000000,Animation Comedy Family,"['Comedy', 'Music', 'Animation', 'Family']",['English'],9.141045,"",tt1402488,48,1.59196259E8,6.4006466E7,9.5189793E7,0,en,true
tt1252329,Redwoods,6170,"","",2009,82,1613.0,false,redwoods,"","","","","","","","","","","","","","","",0,af,false
tt0156639,The Big Tease,3529,"",1999,"",86,2604.0,false,the big tease,"","","","","","",['Comedy'],['English'],"","",tt0156639,"","","","",0,en,true
tt2078599,Kéy ớf Lifé,7277,Kagi-dorobô no mesoddo,2012,"",128,"",true,key of life,"","","","","","","","","","","","","","","",0,cy,false
tt1705120,Love.net,6881,Love.net,2011,"",109,3727.0,true,love.net,"","","","","","","","","","","","","","","",0,sl,false
tt3856408,Making Waves: The Art of Cinematic Sound,8336,"",2019,"",94,1622.0,true,making waves: the art of cinematic sound,"","","","","","",['Documentary'],['English'],"","",tt3856408,"","","","",0,en,true
tt0073679,Special Section,1576,"",1975,"",118,1254.0,true,special section,"","","","","","","","","","","","","","","",0,en,true
tt0066728,The Million Dollar Duck,1326,The Million Dollar Duck,1971,"",89,2271.0,false,the million dollar duck,"","","","","","","['Sci-Fi', 'Comedy', 'Family']",['English'],"","",tt0066728,"","","","",0,en,true
tt5988370,Réis,9150,Reis,"",2017,108,73182.0,false,reis,"","","","","","","","","","","","","","","",0,de,false
tt0312773,The Man of the Year,4244,O Homem do Ano,2003,"",105,2869.0,true,the man of the year,"","","","","","","","","","","","","","","",0,pt,false
tt0031647,Midnight,239,"",1939,"",94,4904.0,true,midnight,"","","","","","","","","","","","","","","",1,et,false
tt0082744,Midnight,1878,Midnight,1982,"",94,1019.0,false,midnight,"","","","","","","","","","","","","","","",1,af,false
tt1212974,Bitch Slap,6097,Bitch Slap,2009,"",109,13710.0,false,bitch slap,"","","","",0,Drama Action Comedy Thriller Crime,"['Action', 'Drama', 'Thriller', 'Crime']",['English'],7.489306,199436,tt1212974,"","","","",0,en,true
tt9252508,Tall Girl,9917,"",2019,"",101,20417.0,false,tall girl,"","","","","","","","","","","","","","","",0,tr,false
tt0339072,Gladiatress,4360,Gladiatress,2004,"",89,1403.0,false,gladiatress,"","","","","","","","","","","","","","","",0,ca,false
tt0081991,Rasputin,1835,"",1981,"",151,1504.0,true,rasputin,"","","","","","","","","","","","","","","",0,lt,false
tt1979319,Rurouni Kenshin Part I: Origins,7191,"",2012,"",134,24787.0,true,rurouni kenshin part i: origins,"","","","",0,Action Drama History,"","",7.916658,61700000,tt1979319,132,3.7654579E7,"",3.7654579E7,0,no,false
tt1790867,The Other F Word,6992,"",2011,"",98,1973.0,true,the other f word,"","","","","","","['Drama', 'Comedy', 'Music', 'Documentary']",['English'],"","",tt1790867,"","","","",0,en,true
tt0110521,Mina Tannenbaum,2951,Mina Tannenbaum,1994,"",128,1029.0,true,mina tannenbaum,"","","","","","","","","","","","","","","",0,sw,false
tt0030241,Hớlidáy,212,"","",1938,95,15746.0,true,holiday,3,"","","","","","","","","","","","","","",0,so,false
tt0095302,High Hopes,2420,"",1988,"",108,5055.0,true,high hopes,"","","","",0,Comedy Drama,"['Drama', 'Comedy']",['English'],1.369216,1192322,tt0095302,"","","","",0,en,true
tt0042209,At War with the Army,505,"",1950,"",93,2325.0,false,at war with the army,"","","","","","","","","","","","","","","",0,en,true
tt0323033,Laws of Attraction,4289,Laws of Attraction,2004,"",90,22997.0,false,laws of attraction,"","","","",28000000,Action Comedy Romance Thriller,"['Comedy', 'Romance']",['English'],5.739139,"",tt0323033,"","","","",0,en,true
tt2226519,Plush,7428,"",2013,"",99,3877.0,false,plush,"","","","","","","","","","","","","","","",0,fr,false
tt0174852,The Last Days,3625,"",1998,"",87,3675.0,true,the last days,1,1,"","","","","['War', 'Documentary']","['English', 'German', 'Hungarian']","","",tt0174852,"","","","",0,en,true
tt11691722,Schwéinstéigér Mémớriés: Vớn Ánfáng bis Légéndé,6000,"","",2020,112,1042.0,true,schweinsteiger memories: von anfang bis legende,"","","","","","","","","","","","","","","",0,de,false
tt0056291,Knife in the Water,951,Nóz w wodzie,1962,"",94,21358.0,true,knife in the water,1,"","","","","","","","","","","","","","",0,pl,false
tt0061418,Bonnie and Clyde,1132,Bonnie and Clyde,1967,"",111,"",true,bonnie and clyde,10,2,"","",2500000,Crime Drama,"['Biography', 'Drama', 'Thriller', 'Romance', 'Crime']",['English'],12.109198,"",tt0061418,"","","","",0,en,true
tt10023024,Lớvé Ááj Kál,5583,"",2020,"",142,9837.0,false,love aaj kal,"","","","","","","","","","","",183,5120794.0,"",5120794.0,0,sl,false
tt0105616,Tom and Jerry: The Movie,2773,Tom and Jerry: The Movie,1992,"",84,10684.0,false,tom and jerry: the movie,"","","","","","","","","","","","","","","",0,en,true
tt0104391,Hard Hunted,2726,"",1993,"",97,1102.0,false,hard hunted,"","","","","","","","","","","","","","","",0,en,true
tt0361467,Confessions of a Teenage Drama Queen,4442,"",2004,"",89,"",false,confessions of a teenage drama queen,"","","","",15000000,Comedy,"['Comedy', 'Romance', 'Music', 'Family']",['English'],7.423275,"",tt0361467,115,3.325189E7,2.9331068E7,3920822.0,0,en,true
tt8983168,Commando 3,9850,Commando 3,2019,"",133,2828.0,false,commando 3,"","","","","","","","","","","","","","","",0,pt,false
tt6054290,Soulmate,9168,Qi yue yu an sheng,2016,"",110,2432.0,true,soulmate,"","","","","","","","","","","",186,2.4684439E7,"",2.4684439E7,0,id,false
tt0449393,Siren,4937,Siren,2006,"",87,1913.0,false,siren,"","","","","","","","","","","","","","","",0,de,false
tt0018192,Napoleon,54,Napoléon vu par Abel Gance,1927,"",330,7622.0,true,napoleon,"","","","","","","","","","","","","","","",0,fr,false
tt0814768,The Price to Pay,5328,"",2007,"",95,1051.0,false,the price to pay,"","","","","","","","","","","","","","","",0,en,true
tt0190590,"O Brother, Where Art Thou?",3698,"",2000,"",107,300505.0,true,"o brother, where art thou?",2,"","","",26000000,Action Adventure Comedy,"['Adventure', 'Comedy', 'Crime', 'Music']",['English'],12.434175,"",tt0190590,60,7.1868327E7,4.5512588E7,2.6355739E7,0,en,true
tt0053746,The Lady with the Dog,837,"",1960,"",83,"",true,the lady with the dog,"","","","","","","","","","","","","","","",0,en,true
tt1674785,Drúnk Stớnéd Brilliánt Déád,6846,"",2015,"",98,2275.0,true,drunk stoned brilliant dead,"","","","","","","['Biography', 'History', 'Comedy', 'Documentary']",['English'],"","",tt1674785,"","","","",0,da,false
tt0048275,Merry-Go-Round,642,"",1956,"",95,1388.0,true,merry-go-round,"","","","","","","","","","","","","","","",0,en,true
tt2072029,7 Nights of Darkness,7269,7 Nights of Darkness,2011,"",90,1114.0,false,7 nights of darkness,"","","","","","","","","","","","","","","",0,en,true
tt0386820,The Trouble with Terkel,4622,"",2004,"",77,10523.0,true,the trouble with terkel,"","","","","","","","","","","","","","","",0,en,true
tt5562652,Vaxxed: From Cover-Up to Catastrophe,8978,Vaxxed: From Cover-Up to Catastrophe,2016,"",91,4781.0,false,vaxxed: from cover-up to catastrophe,"","","","","","",['Documentary'],['English'],"","",tt5562652,"","","","",0,en,true
tt0466669,Almost Normal,5030,"",2005,"",90,1166.0,false,almost normal,"","","","","","","","","","","","","","","",0,ca,false
tt0119327,Hugo Pool,3277,Hugo Pool,1997,"",92,"",false,hugo pool,"","","","","","","","","","","","","","","",0,tl,false
tt1928340,After the Dark,7146,"",2013,"",107,22003.0,false,after the dark,"","","","","","","['Sci-Fi', 'Drama', 'Thriller', 'Fantasy']",['English'],"","",tt1928340,"","","","",0,en,true
tt0454879,Journey to the End of the Night,4972,"",2006,"",88,2567.0,false,journey to the end of the night,"","","","","","","","","","","","","","","",0,en,true
tt0123392,B.D. in the Mountains and on the Seaside,3384,B.D. la munte si la mare,1971,"",100,1838.0,true,b.d. in the mountains and on the seaside,"","","","","","","","","","","","","","","",0,it,false
tt0496350,The Marsh,5191,The Marsh,2006,"",92,3184.0,false,the marsh,"","","","","","","","","","","","","","","",0,en,true
tt3244446,Blééding Héárt,8022,"",2015,"",80,2082.0,false,bleeding heart,"","","","","","","","","","","","","","","",0,en,true
tt9165634,Hanum & Rangga,9893,"",2018,"",90,3532.0,false,hanum & rangga,"","","","","","","","","","","","","","","",0,id,false
tt0092963,The Emperor's Naked Army Marches On,2307,"Yuki yukite, shingun",1987,"",122,1739.0,true,the emperor's naked army marches on,"","","","","","","","","","","","","","","",0,id,false
tt0024127,Our Flags Lead Us Forward,121,"",1933,"",95,1733.0,false,our flags lead us forward,"","","","","","","","","","","","","","","",0,en,true
tt1490759,Unresolved Sexual Tension,6563,Tensión sexual no resuelta,2010,"",93,1270.0,false,unresolved sexual tension,"","","","","","","","","","","","","","","",0,es,false
tt6289394,Dönérsé Sénindir,9245,"",2016,"",109,2042.0,false,donerse senindir,"","","","","","","","","","","","","","","",0,af,false
tt3036740,Humshakals,7918,Humshakals,2014,"",159,8088.0,false,humshakals,"","","","","","","","","","","","","","","",0,sw,false
tt0845439,Fireworks Wednesday,5389,"",2006,"",102,11417.0,true,fireworks wednesday,"","","","","","","['Drama', 'Mystery']",['Persian'],"","",tt0845439,"","","","",0,en,true
tt0116763,Khamoshi the Musical,3162,Khamoshi: The Musical,1996,"",160,4063.0,true,khamoshi the musical,"","","","","","","","","","","","","","","",0,en,true
tt0993755,Em,5566,"",2008,"",93,1060.0,true,em,"","","","","","","","","","","","","","","",0,pt,false
tt0023876,Cavalcade,113,Cavalcade,"",1933,112,5038.0,false,cavalcade,4,3,"","",1180280,Drama,"","",1.196324,"",tt0023876,"","","","",0,ca,false
tt1878942,Date and Switch,7104,Date and Switch,2014,"",91,"",false,date and switch,"","","","","","",['Comedy'],['English'],"","",tt1878942,"","","","",0,en,true
tt0093477,Making Mr. Right,2337,"",1987,"",98,2684.0,false,making mr. right,"","","","","","","","","","","",159,1584970.0,1584970.0,"",0,tl,false
tt0044314,5 Fingers,552,5 Fingers,1952,"",108,4598.0,true,5 fingers,"","","","","","","","","","","","","","","",0,no,false
tt0119389,The Island on Bird Street,3282,"","",1997,107,1608.0,true,the island on bird street,"","","","","","","","","","","","","","","",0,en,true
tt1290138,Frank & Lola,6248,"",2016,"",88,5911.0,false,frank & lola,"","","","",0,Drama Mystery Romance,"['Drama', 'Mystery', 'Thriller', 'Romance', 'Crime']",['English'],3.805811,9188,tt1290138,"","","","",0,sv,false
tt5736696,R.A.I.D. Special Unit,9060,Raid dingue,2016,"",105,3804.0,false,r.a.i.d. special unit,"","","","","","","","","","","","","","","",0,id,false
tt5851680,One Last Deal,9106,"","",2018,95,1285.0,true,one last deal,"","","","","","","","","","","","","","","",0,et,false
tt1483821,Asal,6548,Asal,2010,"",135,"",false,asal,"","","","","","","","","","","","","","","",0,tl,false
tt0428870,A Moment to Remember,4854,Nae meorisokui jiwoogae,2004,"",144,"",true,a moment to remember,"","","","","","","","","","","","","","","",0,af,false
tt0264051,Sultan,3997,"",1978,"",88,3584.0,true,sultan,"","","","","","","","","","","","","","","",0,fi,false
tt0035432,This Gún fớr Hiré,334,"",1942,"",81,9003.0,true,this gun for hire,"","","","","","","","","","","","","","","",0,en,true
tt1332486,Kiss Me Again,6323,"",2010,"",139,1773.0,false,kiss me again,"","","","","","","","","","","","","","","",0,et,false
tt0378194,Kill Bill: Vol. 2,4557,Kill Bill: Vol. 2,2004,"",137,721266.0,true,kill bill: vol. 2,"","","","",30000000,Action Crime Thriller,"['Action', 'Thriller', 'Crime']","['English', 'Mandarin', 'Spanish', 'Cantonese']",21.533072,"",tt0378194,36,1.54116796E8,6.6208183E7,8.7908613E7,0,et,false
tt2511190,A Talking Cat!?!,7691,"",2013,"",85,1491.0,false,a talking cat!?!,"","","","","","","","","","","","","","","",0,tl,false
tt0369735,Monster-in-Law,4505,"",2005,"",101,59307.0,false,monster-in-law,"","","","",43000000,Romance Comedy,"['Comedy', 'Romance']",['English'],6.328385,"",tt0369735,30,1.55457327E8,8.2931301E7,7.2526026E7,0,en,true
tt0805605,Seinto Seiya: Tenkai-hen joso - Overture,5303,"",2004,"",84,1267.0,true,seinto seiya: tenkai-hen joso - overture,"","","","","","","","","","","","","","","",0,fi,false
tt0289879,The Butterfly Effect,4137,The Butterfly Effect,2004,"",113,470867.0,true,the butterfly effect,"","","","",13000000,Science Fiction Thriller,"['Sci-Fi', 'Mystery', 'Thriller']",['English'],12.994939,96060858,tt0289879,59,9.6693417E7,5.7938693E7,3.8754724E7,0,en,true
tt0053779,La Dolce Vita,839,La dolce vita,1960,"",174,70579.0,true,la dolce vita,4,1,"","",0,Comedy Drama,"['Drama', 'Comedy']","['English', 'German', 'French', 'Italian']",11.063822,19516000,tt0053779,"","","","",0,it,false
tt0094336,Withnail & I,2377,"",1987,"",107,42611.0,true,withnail & i,"","","","","","","['Drama', 'Comedy']","['English', 'Latin']","","",tt0094336,"","","","",0,en,true
tt2439946,40 Dáys ánd Nights,7648,40 Days and Nights,2012,"",86,2181.0,false,40 days and nights,"","","","","","","","","","","","","","","",0,en,true
tt1002563,The Young Messiah,5584,"",2016,"",111,3435.0,false,the young messiah,"","","","",18500000,Drama,['Drama'],['English'],1.729199,"",tt1002563,"","","","",0,en,true
tt1198153,The Assassin Next Door,6075,Kirot,2009,"",103,2701.0,false,the assassin next door,"","","","","","","","","","","","","","","",0,sw,false
tt0088074,Secret Honor,2116,Secret Honor,1984,"",90,2934.0,true,secret honor,"","","","","","","","","","","","","","","",0,en,true
tt0065180,Viimne reliikvia,1273,"",1969,"",86,"",true,viimne reliikvia,"","","","","","","","","","","","","","","",0,et,false
tt0126861,Denial,3398,Denial,"",1998,93,"",false,denial,"","","","","","","","","","","","","","","",0,no,false
tt8364132,Birbal Trilogy: Case 1 - Finding Vajramuni,9745,"",2019,"",163,"",true,birbal trilogy: case 1 - finding vajramuni,"","","","","","","","","","","","","","","",0,en,true
tt7295450,Bétwéén Wớrlds,9490,Between Worlds,2018,"",90,8353.0,false,between worlds,"","","","","","","['Action', 'Mystery', 'Thriller', 'Fantasy']",['English'],"","",tt7295450,"","","","",0,nl,false
tt1345777,Ishqiya,6354,Ishqiya,2010,"",118,10305.0,true,ishqiya,"","","","","","","","","","","","","","","",0,so,false
tt0127834,Seven Years Bad Luck,3404,"","",1921,62,1213.0,true,seven years bad luck,"","","","","","","","","","","","","","","",0,en,true
tt0099785,Home Alone,2583,Home Alone,1990,"",103,522658.0,true,home alone,2,"","","",18000000,Comedy Family,"['Comedy', 'Crime', 'Family']",['English'],0.702543,"",tt0099785,1,2.85761244E8,2.85761243E8,1.0,0,it,false
tt1212436,The Back-up Plan,6096,"",2010,"",104,49373.0,false,the back-up plan,"","","","",35000000,Comedy Romance,"['Comedy', 'Romance']",['English'],6.629999,77477008,tt1212436,83,7.7477008E7,3.7490007E7,3.9987001E7,0,en,true
tt0119512,Left Luggage,3287,Left Luggage,1998,"",100,"",true,left luggage,"","","","",0,Drama,['Drama'],"['English', 'Yiddish', 'Hebrew']",0.444226,100544,tt0119512,"","","","",0,da,false
tt0069005,Night of the Lepus,1428,Night of the Lepus,1972,"",88,4859.0,false,night of the lepus,"","","","","","","['Sci-Fi', 'Thriller', 'Horror']",['English'],"","",tt0069005,"","","","",0,en,true
tt3801252,Ná Málớớm Áfráád,8307,Na Maloom Afraad,2014,"",137,4012.0,true,na maloom afraad,"","","","",884130,Thriller Comedy,"","",0.241973,"",tt3801252,"","","","",0,so,false
tt7400974,Turned Out,9523,"",2018,"","",2373.0,true,turned out,"","","","","","","","","","","","","","","",0,en,true
tt0102469,Mortal Thoughts,2669,"",1991,"",103,8730.0,false,mortal thoughts,"","","","","","","['Mystery', 'Thriller']",['English'],"","",tt0102469,66,1.8784957E7,1.8784957E7,"",0,en,true
tt2429144,Chambaili,7641,Chambaili,2013,"",133,1108.0,true,chambaili,"","","","","","","","","","","","","","","",0,sw,false
tt0122082,The Crazy Stranger,3371,"",1997,"",102,7792.0,true,the crazy stranger,"","","","","","","","","","","","","","","",0,en,true
tt2723176,Hide & Seek,7785,"","",2014,82,1062.0,false,hide & seek,"","","","","","","","","","","","","","","",0,af,false
tt0078087,Piranha,1726,"",1978,"",94,20905.0,false,piranha,"","","","","","","['Sci-Fi', 'Thriller', 'Horror', 'Comedy']",['English'],"","",tt0078087,"","","","",0,pt,false
tt0035446,To Be or Not to Be,335,"",1942,"",99,34514.0,true,to be or not to be,2,"","","","","","['Comedy', 'War']","['English', 'German']","","",tt0035446,"","","","",0,en,true
tt0325005,Antikiller,4292,"",2002,"",114,1570.0,false,antikiller,"","","","",5000000,Action Crime,"","",0.191539,340312,tt0325005,"","","","",0,tr,false
tt1226240,A Late Quartet,6115,A Late Quartet,2012,"",105,14453.0,true,a late quartet,"","","","",0,Music Drama,['Drama'],['English'],11.03656,"",tt1226240,"","","","",0,it,false
tt2424028,Bring Me the Head of the Machine Gun Woman,7640,"",2012,"",73,1081.0,false,bring me the head of the machine gun woman,"","","","","","","","","","","","","","","",0,en,true
tt9319874,Maara,9926,Maara,2021,"",149,3698.0,true,maara,"","","","","","","","","","","","","","","",0,so,false
tt0083907,The Evil Dead,1927,The Evil Dead,1981,"",85,198642.0,true,the evil dead,"","","","",350000,Horror,['Horror'],['English'],10.421679,29400000,tt0083907,"","","","",0,en,true
tt5843850,Kings,9101,"","",2017,86,3399.0,false,kings,"","","","","","","['Drama', 'Thriller', 'Romance', 'Crime']",['English'],"","",tt5843850,"","","","",0,tl,false
tt6772946,The Campus,9371,"","",2018,84,2434.0,false,the campus,"","","","","","","","","","","","","","","",0,en,true
tt0206216,Railroad Man,3751,Poppoya,1999,"",112,1147.0,true,railroad man,"","","","","","","","","","","","","","","",0,tl,false
tt2232578,Canopy,7434,"","",2013,84,1071.0,false,canopy,"","","","","","","['Adventure', 'Drama', 'War']","['English', 'Mandarin', 'Japanese']","","",tt2232578,"","","","",0,es,false
tt4692368,Jawani Phir Nahi Ani,8665,"",2015,"",156,3074.0,true,jawani phir nahi ani,"","","","","","","","","","","","","","","",0,sw,false
tt0376990,"Die Wilden Kerle: Alles ist gut, solange du wild bist!",4547,"Die Wilden Kerle: Alles ist gut, solange du wild bist!",2003,"",94,"",false,"die wilden kerle: alles ist gut, solange du wild bist!","","","","","","","","","","","","","","","",0,de,false
