_c0,tconst,numVotes,popularity,runtimeMinutes,budget,revenue
9659,tt8006374,21884,8,97,15404686,36943966
3243,tt0118826,15860,4,85,786675,-5600385
8424,tt4074928,24230,8,112,15554715,37714489
2753,tt0105089,1078,5,91,13579281,28539355
6950,tt1754320,1285,7,115,13680388,28896711
5101,tt0478988,8230,6,90,14195180,31395222
7523,tt2322441,308859,33,125,40000000,150317978
1439,tt0069289,4537,5,81,13827749,29757603
6834,tt1666335,8430,7,108,14246034,31586013
8608,tt4518260,1481,7,106,13729408,29080994
583,tt0045554,4153,4,78,13779958,29555707
2314,tt0093111,1556,5,104,13608426,28690584
2537,tt0098319,7768,5,108,14106743,31050263
3079,tt0114489,1205,5,90,13595952,28608981
6672,tt1567312,1090,6,95,13659277,28804604
7520,tt2321405,23789,7,66,8000000,292279
367,tt0037055,3530,4,95,13726078,29306179
2130,tt0088379,2008,5,81,13640644,28848952
3361,tt0120836,6465,1,100,1,100
5251,tt0779982,40212,7,87,0,4947717
6596,tt1517225,2513,6,108,13770866,29336691
3191,tt0117372,11819,4,123,40000000,48093211
5868,tt1123894,1663,6,71,13688609,28967399
6131,tt1234541,19379,7,90,15102235,35672154
7140,tt1925466,1430,7,88,13695744,28964076
7965,tt3128900,8240,7,88,14253739,31589529
8707,tt4819576,1148,7,118,13704934,28961886
3296,tt0119670,12911,6,100,14530889,33042080
5041,tt0468965,1343,6,86,13646493,28791596
5666,tt1034419,1732,6,92,13690023,28980012
7180,tt1961324,1084,7,88,13669046,28836132
9228,tt6222286,1849,7,88,13771165,29261143
9324,tt6571548,55770,9,125,18059512,49621084
1779,tt0079788,5319,5,84,13896771,30075404
2833,tt0107387,25966,9,92,900000,-3751911
6918,tt1727252,27089,7,120,15737507,38653344
7266,tt2070649,-22304,4,125,2200000,-7321653
7303,tt2103281,578264,75,130,170000000,560819772
7534,tt2334733,8127,7,118,14236066,31518211
8852,tt5200962,2994,7,136,13854607,29668348
1608,tt0074593,4754,5,91,13848408,29850760
3728,tt0200087,25084,6,174,15507292,37665782
4244,tt0312773,2869,6,105,13751729,29314599
5139,tt0486674,27162,10,104,25000000,6673422
7945,tt3093522,3893,7,98,13907775,29947341
2671,tt0102583,1756,5,110,13631526,28789830
4735,tt0410407,1131,6,84,13623468,28691214
4822,tt0424992,1980,1,99,0,-9924485
4910,tt0442286,6584,6,132,14060485,30761214
8421,tt4067106,3102,7,105,13854496,29680431
9994,tt9849004,21248,8,96,15364038,36735180
815,tt0053242,1730,5,92,13592024,28656537
2359,tt0093986,1520,0,92,0,-10016701
2392,tt0094799,35674,6,107,16286285,41472211
8732,tt4890452,1652,7,72,13745499,29153779
9441,tt7087210,2102,7,101,13795574,29370817
9490,tt7295450,8353,8,90,14293480,31733637
9680,tt8075192,71133,9,121,19287962,55443833
9877,tt9089294,4439,8,99,13990145,30281969
4,tt0010600,1898,4,66,13589019,28665990
768,tt0052188,1002,4,63,13533201,28378602
1402,tt0068370,37548,6,87,16406059,42087555
6369,tt1355638,3396,6,100,13836480,29654893
3006,tt0112602,5987,5,90,13974621,30409184
4235,tt0310254,2946,6,160,13757674,29343083
4673,tt0397401,2423,6,83,13724924,29174780
6162,tt12459520,1492,6,96,13680948,28922418
9425,tt7019942,13185,8,176,14676293,33553274
9463,tt7214842,6334,8,95,14132437,30969731
5190,tt0495747,1414,6,80,13655142,28828306
5379,tt0841032,3091,1,96,0,-9751187
7117,tt1891884,7068,7,160,14143476,31090743
7825,tt2836252,1318,7,88,13700656,28967370
8677,tt4729990,1111,7,100,13701386,28945918
1105,tt0060635,2728,5,111,13677210,29052550
2379,tt0094407,3717,5,88,13781523,29510615
2754,tt0105104,47083,18,84,15000000,44065653
3986,tt0262432,8177,6,89,14168479,31301039
6840,tt1668200,16910,6,111,10000000,20794160
6916,tt1724970,21111,7,106,15255754,36378160
4328,tt0330536,1933,6,84,13679014,28966869
5866,tt11233960,15759,7,112,14809124,34288091
9585,tt7689924,1279,7,96,13733054,29069738
9723,tt8286926,4009,8,131,13952860,30109422
3825,tt0232960,1029,5,140,13597012,28592191
7116,tt1891845,1278,7,96,13683178,28905106
8100,tt3411432,24840,8,87,15593630,37914536
8279,tt3734466,1363,7,122,13713394,29014570
807,tt0053121,38681,5,108,16478552,42459777
3629,tt0175536,2962,5,97,13746717,29308787
6114,tt1225831,28638,7,245,15836949,39163319
8877,tt5266456,1366,7,106,13725692,29055480
2001,tt0085518,1911,5,85,13630332,28803757
2716,tt0104028,3185,5,116,13746032,29332230
3487,tt0143861,2785,5,92,13729782,29232526
4145,tt0291376,15736,6,187,14772592,34164942
4555,tt0377818,77620,9,104,50000000,143723679
6384,tt1368068,1809,6,100,13710626,29056846
7342,tt2149190,1106,7,106,13674064,28855220
42,tt0016630,3285,4,77,13700045,29192072
986,tt0057490,11433,5,116,14366808,32330509
4219,tt0307466,32207,6,107,16064681,40333945
6914,tt1723596,1001,7,136,13657088,28787122
8541,tt4337690,3819,4,121,5000000,4607965
9805,tt8689290,4079,8,93,13960075,30141288
938,tt0056059,12556,5,157,14455116,32751227
1166,tt0061994,1400,5,86,13572870,28555320
5388,tt0845424,4226,6,97,13882675,29902929
9439,tt7078658,3680,7,87,13920974,29966327
511,tt0042395,1544,4,84,13571106,28566100
713,tt0050356,10685,5,98,14301838,32029994
1201,tt0063023,2405,5,132,13653472,28937021
1984,tt0085244,35691,6,105,16315306,41553558
3103,tt0115577,34323,6,100,16199937,41028733
4612,tt0385751,4678,6,90,13902954,30021918
2140,tt0088879,36164,6,171,16317835,41633853
2915,tt0109809,1492,5,88,13615459,28706404
8705,tt4817256,1405,7,90,13725321,29058754
480,tt0040970,1422,4,117,13560786,28517998
2306,tt0092929,9937,5,118,14274508,31853630
3244,tt0118843,52713,7,127,17693872,48062678
4069,tt0277615,1124,6,86,13609480,28644266
7762,tt2667960,5536,3,129,5500000,6282755
8420,tt4065552,24251,8,180,15556246,37721911
9223,tt6212984,3859,7,147,13930853,30019544
2382,tt0094594,3739,2,95,0,5979011
3989,tt0262942,1888,6,120,13668603,28927342
4066,tt0276744,1233,6,93,13618085,28685213
5571,tt0995827,1137,6,134,13640812,28749112
6261,tt1296373,1713,6,82,13700512,29012421
8962,tt5518022,3359,7,88,13885836,29813426
9887,tt9114472,1503,8,88,13756951,29174380
2028,tt0086102,1733,5,107,13616729,28738371
2644,tt0101698,18397,6,112,14953845,35069507
3255,tt0119084,1158,5,87,13595765,28602947
6176,tt1255953,165991,8,131,6800000,34256498
6423,tt13944546,1249,6,129,13666899,28848067
7821,tt2824852,1429,7,87,13709399,29009003
7925,tt3042408,54131,8,102,17901003,48909333
2022,tt0086011,1324,5,83,13584092,28583579
9708,tt8188872,3656,8,130,13924496,29975177
3418,tt0130192,2021,5,105,13667658,28939553
4749,tt0413615,1517,6,214,13654449,28837892
7051,tt1832382,234304,13,123,32206089,116861038
7480,tt2282849,1545,9,95,0,-9965973
9834,tt8879946,2136,8,97,13806203,29409795
546,tt0043927,1262,4,85,13549395,28461983
1191,tt0062765,66228,7,114,5500000,15410613
9960,tt9598172,2200,8,96,13813832,29442335
5290,tt0800069,62963,8,89,18549949,52067843
7207,tt1997455,1244,7,161,13682317,28898348
7425,tt2224317,15236,1,136,4100000,3766549
7512,tt2315226,2504,7,134,13788628,29394241
1480,tt0070439,5541,5,104,13908390,30139318
2299,tt0092798,3400,5,97,13754711,29385638
3678,tt0186725,1169,5,93,13605172,28635242
3974,tt0259324,231319,11,110,110000000,337626136
8795,tt5061162,3373,7,102,13883582,29807605
3201,tt0117609,2915,5,105,13734349,29262575
9516,tt7384848,2194,7,120,13804402,29410540
9801,tt8665634,2851,8,137,13862380,29677504
2448,tt0095953,66467,11,133,25000000,70916271
9415,tt6967980,22032,8,116,15379371,36892063
9499,tt7323600,5674,8,102,14080697,30722998
7055,tt1836099,1137,7,116,13670741,28847831
7474,tt2278870,1619,7,119,13717508,29057648
519,tt0042792,4931,4,106,13840516,29845130
1214,tt0063288,1498,5,98,13581629,28595510
1658,tt0075984,2894,5,94,13701558,29151994
5447,tt0893406,29876,7,98,15915593,39568218
8008,tt3203616,54757,8,99,17952440,49151150
840,tt0053796,3278,5,96,13715586,29242524
5147,tt0488177,2639,6,97,13751657,29287852
8836,tt5160938,7274,7,105,14194516,31282843
9955,tt9558612,7005,8,136,14195705,31255757
279,tt0033152,12840,5,106,14464396,32814571
1297,tt0065969,3125,5,125,13712643,29215183
2778,tt0105764,3175,5,92,13746485,29332572
1136,tt0061489,38055,6,99,16438508,42254149
2207,tt0090579,2289,5,100,13664537,28960150
9263,tt6344664,2307,7,112,13808281,29436361
81,tt0021015,2275,4,85,13620544,28813425
2657,tt0102095,6914,3,88,0,-9197378
2928,tt0110081,17363,6,133,14877378,34698104
3902,tt0247944,1349,6,166,13624006,28718113
4726,tt0408524,21320,4,113,30000000,78322231
4767,tt0416991,3779,0,124,0,-9652640
5296,tt0803080,30160,7,87,15933739,39661497
7315,tt2112277,3056,7,96,13828532,29589486
7816,tt2820008,4715,7,85,13970516,30249035
9373,tt6774212,4552,7,157,13988969,30291113
2282,tt0092548,8604,5,90,14168055,31348857
7103,tt1877832,684885,26,132,250000000,804478408
7500,tt2304771,27471,11,141,35000000,93498811
9159,tt6016744,14373,8,121,14765362,33983994
1316,tt0066498,2763,5,94,13684246,29079793
3561,tt0163676,4540,1,105,15000000,33111379
513,tt0042451,10941,5,92,14318154,32113319
8121,tt3465916,4339,7,110,13946781,30127405
9625,tt7881542,1335,7,136,13738317,29093551
783,tt0052646,6802,5,82,13994572,30568931
3139,tt0116289,10982,6,99,14374378,32303496
5332,tt0816462,97708,10,113,90000000,260531550
6552,tt1485749,4098,6,116,13895978,29932056
2391,tt0094794,2397,5,94,13676833,29013156
3784,tt0214871,33030,6,95,16117259,40604090
4394,tt0347457,1474,6,110,13643860,28798009
7065,tt1843335,1997,7,160,13739312,29173135
9180,tt6083230,2433,7,103,13816623,29478397
1162,tt0061855,1180,5,79,13555299,28472009
5116,tt0482461,4187,6,95,13874088,29870112
9808,tt8703884,1168,7,80,13728726,29042669
1751,tt0078935,53698,6,95,17742058,48335150
6792,tt1646958,1459,7,180,13691040,28951901
7211,tt1999995,40181,8,93,16777657,43596128
9756,tt8394314,1559,7,97,13758761,29186806
3714,tt0196069,7829,6,145,14135334,31151602
5513,tt0954937,1059,6,90,13633437,28715796
3136,tt0116261,1193,5,84,13596147,28608241
3286,tt0119502,2238,5,92,13682245,29012679
4026,tt0268282,1425,6,83,13632540,28755023
8817,tt5108476,7451,7,130,14208206,31348400
9503,tt7339792,2955,7,98,13864633,29696923
163,tt0027478,39898,5,80,16556235,42858975
2176,tt0089746,1231,5,124,13579810,28558733
3179,tt0117070,2572,5,95,13706638,29131636
7727,tt2581244,20841,5,89,2400000,-216933
8439,tt4105584,1512,7,93,13728462,29081448
8729,tt4882376,17521,8,136,15006939,35143667
9558,tt7558302,5348,8,100,14055972,30603867
1525,tt0071908,1091,5,91,13555547,28462567
2103,tt0087759,1745,5,93,13619194,28747885
4123,tt0286716,260766,15,138,137000000,418873213
5911,tt1135095,5052,6,93,13958885,30249511
7430,tt2229511,8622,7,93,14273316,31698132
8751,tt4929720,1948,7,86,13769414,29266779
858,tt0054189,15669,5,118,14700964,33920955
1866,tt0082511,7238,5,101,14051077,30805562
3574,tt0165623,10269,6,87,14326471,32063296
4768,tt0417011,2121,6,178,13702843,29067135
6221,tt12801262,121835,10,95,23248711,74352176
8167,tt3526810,5610,7,350,14048770,30610308
8369,tt3958072,2517,7,111,13806944,29456154
8772,tt4987556,18960,8,160,15122201,35689714
1233,tt0063845,2712,5,164,13678525,29055044
1784,tt0079889,2117,5,143,13642337,28867098
2840,tt0107625,2056,5,95,13658782,28914309
5827,tt11033952,29152,7,83,15869271,39330381
6493,tt1436559,9223,4,90,1,-8812656
7938,tt3078242,8113,7,98,14243100,31539797
9051,tt5723028,1033,7,79,13702727,28941350
1542,tt0072867,1248,5,95,13568371,28522962
3779,tt0212742,1750,6,100,13653395,28861274
5874,tt1125849,298596,7,109,6000000,44703995
6081,tt12027020,1729,6,92,13698154,29006489
6359,tt1349853,3104,6,100,13813066,29544006
6990,tt1787988,41254,8,140,16858502,43986466
7643,tt2433040,3350,2,103,0,-9691224
9050,tt5719700,31035,8,97,16087694,40266134
321,tt0035009,1720,4,77,13581264,28619893
962,tt0056732,32160,5,95,16013998,40152719
1051,tt0059124,2181,5,88,13632635,28842474
3906,tt0248126,32821,6,210,16104229,40536419
4700,tt0403016,4656,2,80,0,-9520488
1820,tt0081229,1836,5,92,13620720,28763408
5592,tt1010048,822486,11,120,15000000,156957866
9729,tt8305806,13971,8,95,14744899,33870163
7863,tt2922382,4771,7,117,13975919,30273310
8554,tt4381236,7267,7,93,14188271,31261436
9214,tt6182078,5636,7,103,14071928,30689694
239,tt0031647,4904,4,94,13832722,29816307
766,tt0052151,11169,5,93,14341382,32216213
3266,tt0119203,2404,5,92,13695037,29074008
3867,tt0241760,32872,6,88,16107084,40551872
6461,tt1418646,7983,7,122,14202978,31392474
6581,tt1506999,86017,9,93,23000000,68225699
7926,tt3042926,8895,7,170,14305029,31834204
1937,tt0084237,25827,6,92,0,6455530
2205,tt0090565,2597,5,99,13688981,29076277
3630,tt0175880,302174,9,188,37000000,140738279
3817,tt0227277,6425,6,125,14025800,30628481
2731,tt0104605,7963,5,157,14126162,31136791
9063,tt5746054,23014,8,92,15476901,37314926
9293,tt6473066,8607,8,121,14309701,31816418
1035,tt0058576,15215,5,118,14668443,33761359
3802,tt0220506,41851,8,94,13000000,37664855
3830,tt0233656,1384,6,102,13625329,28726513
6377,tt1365048,2659,6,129,13778058,29377239
7291,tt2084934,1504,7,90,13704672,29002055
9565,tt7597486,1019,7,99,13711983,28970266
9631,tt7900528,2002,7,114,13791458,29345715
5814,tt1097256,1354,6,58,13662955,28847164
7015,tt1808223,22998,7,105,15407756,37097031
180,tt0028333,6648,6,103,886000,2600000
629,tt0047647,9802,5,94,14229950,31691098
4290,tt0323571,2151,6,92,13695578,29046632
4913,tt0443431,8970,5,92,500000,-7443446
6592,tt15141242,27707,7,118,15777019,38856305
6654,tt1554414,1239,6,92,13670759,28859648
8460,tt4149732,1764,7,83,13748917,29177964
8635,tt4608574,1336,7,88,13718424,29028051
9145,tt5974388,2761,7,103,13841991,29599879
697,tt0049783,1484,4,88,13570088,28555828
2123,tt0088224,4269,1,113,0,14134877
4019,tt0266987,153146,18,126,92000000,274600192
4092,tt0281373,26380,6,99,15617651,38179174
4448,tt0361841,17925,5,107,35000000,22034832
7087,tt1861982,2494,7,132,13779261,29362192
7530,tt2328922,2620,7,82,13798207,29439208
9606,tt7779524,1118,7,85,13720678,29010359
600,tt0046248,4924,0,66,16000,-9471994
5892,tt1130981,2296,6,107,13739417,29207945
6506,tt14433246,1273,6,62,13670474,28862626
8072,tt3350890,1199,7,98,13696179,28938886
8404,tt4031126,3094,7,87,13853516,29676275
8602,tt4505260,3125,7,106,13859975,29701155
2201,tt0090356,1149,5,86,13573791,28529431
2691,tt0103077,1536,5,91,13614439,28708111
4427,tt0357282,2131,6,130,13696755,29048209
5028,tt0466449,1773,6,100,13680415,28953047
6690,tt1573478,1642,6,155,13703528,29014184
4473,tt0366555,1765,6,87,13668584,28913101
5177,tt0493420,30384,7,76,15948004,39734840
7930,tt3059638,1505,7,91,13717640,29044943
8252,tt3696192,8248,7,141,14260169,31611659
4415,tt0353357,31836,7,109,16040938,40211977
5902,tt1132620,213591,9,152,13000000,59092840
6975,tt1780967,7557,7,102,14179479,31265860
7475,tt2278871,146136,4,180,4300000,24152603
8317,tt3817950,1082,7,119,13691822,28911028
9533,tt7464158,1169,7,90,13723260,29024755
6049,tt1187044,5932,6,95,14031623,30590866
6354,tt1345777,10305,7,118,14385405,32261839
8248,tt3685668,1882,7,82,13754022,29208402
8299,tt3779300,3339,7,91,13870874,29761771
9267,tt6349302,4253,7,90,13963056,30171175
9504,tt7339826,5650,8,115,14078892,30714276
9506,tt7349662,246352,14,135,33213351,121572120
2766,tt0105438,34969,6,133,16241321,41241085
3759,tt0209144,1180579,15,113,9000000,194088389
4906,tt0441297,30905,7,115,15981474,39906507
5813,tt1096997,2155,6,99,13726614,29149464
6314,tt1327200,28228,7,86,15810247,39027186
7226,tt2022522,1372,7,90,13692868,28947904
25,tt0015163,9652,4,59,14205840,31594284
300,tt0033945,2315,4,71,13628139,28843088
872,tt0054387,39561,6,103,16600521,42940387
3404,tt0127834,1213,5,62,13603140,28633613
5836,tt11068166,1242,6,95,13654499,28806363
6402,tt1376717,5103,6,118,13972845,30301435
8771,tt4985848,4023,7,94,13934769,30051362
9188,tt6110504,2797,7,95,13845719,29616326
1164,tt0061955,9110,2,107,747000,44566
1979,tt0084934,13274,5,114,14533184,33091491
5055,tt0472562,3373,6,112,13808151,29558799
5703,tt10530176,26797,7,112,15683293,38443758
6521,tt1459040,3074,6,134,13813953,29543471
7883,tt2953050,11863,7,102,14540094,32951651
9472,tt7248248,2730,7,99,13846121,29609930
390,tt0037913,24727,4,111,1453000,-2389148
586,tt0045793,45651,5,118,1650000,1340573
3345,tt0120696,34763,6,97,70000000,194104341
3410,tt0128445,178673,5,93,9000000,17096053
5313,tt0809504,24063,8,90,0,22707064
7740,tt2608224,21495,7,138,15302902,36577937
1699,tt0077288,10532,3,97,0,-8658434
2649,tt0101775,28135,7,103,6788000,13878334
5213,tt0756222,1501,6,100,13662524,28862683
5752,tt10734864,1436,6,106,13668228,28874007
9937,tt9412098,41243,9,97,16917061,44178354
2162,tt0089420,2277,5,114,13662677,28952631
2427,tt0095467,21976,6,87,15233976,36406027
2969,tt0110989,67078,7,95,18830256,53466724
4260,tt0315543,10116,6,113,14328147,32051189
4350,tt0337721,10448,6,103,14356353,32182493
4477,tt0366840,9170,6,171,14257328,31708558
5289,tt0800039,275550,15,111,30000000,116814971
7353,tt2170593,99149,13,102,13000000,54837234
8302,tt3784160,5473,7,103,14040577,30567494
9295,tt6485666,31675,8,172,16143519,40524038
1655,tt0075902,4238,5,165,13808345,29659137
3690,tt0188766,6806,6,85,14053522,30763835
3695,tt0190332,262431,19,120,17000000,77842407
5054,tt0472465,1347,6,81,13647073,28793969
5359,tt0829176,30041,7,90,15926144,39622464
7159,tt1935897,13741,7,87,14674780,33612368
8183,tt3553976,208184,16,118,5000000,35543261
9412,tt6964562,1153,7,91,13719548,29010666
2027,tt0086087,8826,5,95,14180560,31415693
2172,tt0089622,1891,5,86,13632191,28807584
7127,tt1907779,5406,7,83,14011550,30464029
8370,tt3958276,2117,7,119,13775167,29305235
9098,tt5838806,1354,7,127,13729197,29065660
1010,tt0058050,1727,5,62,13595715,28668367
1678,tt0076649,37024,6,86,16372566,41915528
1801,tt0080492,4062,5,124,13797294,29602402
3481,tt0142243,8497,6,52,14183728,31388221
8465,tt4159182,2685,7,93,13822233,29525950
1154,tt0061759,1803,5,90,13604664,28706644
9945,tt9448332,21348,8,134,15370565,36768464
6817,tt1658797,5026,7,88,13975091,30299968
8691,tt4766604,1169,7,88,13706278,28968739
1124,tt0061197,38076,6,90,16439825,42260973
2724,tt0104299,15791,6,110,14748297,34091143
4878,tt0434541,2194,6,109,13710857,29101986
8176,tt3544082,32297,6,91,0,-5304086
8643,tt4624768,3239,7,106,13869865,29746914
1239,tt0064107,4856,5,86,13849074,29864712
2829,tt0107321,2810,5,171,13718506,29198214
8740,tt4906984,5510,7,130,14052355,30610608
9299,tt6495094,1238,7,112,13724028,29035240
1429,tt0069024,1741,5,90,13605282,28701535
4721,tt0407998,5315,6,92,13955791,30269619
4764,tt0416051,1902,6,93,13685344,28984176
6573,tt1502396,2453,6,73,13765629,29312502
6615,tt1529240,1269,6,97,13672358,28868379
6633,tt1537717,1836,6,106,13717795,29083605
1780,tt0079833,29399,6,100,15811013,39164946
2137,tt0088782,1079,5,87,13566936,28498750
7390,tt2192016,6164,7,124,14077115,30767661
8459,tt4148400,4052,7,126,13930784,30041562
3579,tt0166110,11090,6,96,10000000,19883331
4387,tt0346491,166862,13,175,155000000,455851461
6376,tt1364289,1557,6,80,13690430,28961185
6701,tt1582604,1553,6,155,13696674,28981321
9898,tt9176086,3915,8,135,13948918,30085584
474,tt0040795,2332,4,83,13633001,28861085
3080,tt0114496,14839,3,106,0,50892160
7278,tt2078644,1766,7,155,13725244,29100108
8493,tt4224478,1228,7,80,13706974,28977835
8598,tt4489416,5260,7,119,14029616,30506791
215,tt0030341,50707,6,96,17473311,47103954
846,tt0053967,2716,5,96,13671031,29030785
1378,tt0067814,37594,6,88,16408985,42102580
2759,tt0105185,34977,6,104,16241724,41243343
3369,tt0120917,192434,12,78,100000000,303293923
4150,tt0292490,70185,4,183,2079000,6307489
4315,tt0328844,4697,6,115,13898477,30009340
6255,tt12934748,1131,6,50,13654122,28792324
7377,tt2181855,1002,7,100,13666502,28818289
9336,tt6613958,4369,7,115,13973671,30219560
2246,tt0091544,2588,5,90,13689092,29075605
4079,tt0279983,1772,6,88,13661194,28889532
6516,tt1454029,442091,7,146,25000000,127818704
9701,tt8145202,5581,8,103,14077379,30701332
9859,tt9000388,8034,8,107,14275565,31637778
4144,tt0291131,1194,6,105,13616559,28675684
8398,tt4016994,2408,7,125,13798866,29416944
9779,tt8522820,5413,8,87,14065595,30643101
9787,tt8579674,512199,21,119,54352316,221939988
253,tt0032156,3600,4,143,13729348,29325034
1662,tt0076085,13388,3,106,0,-8226406
3343,tt0120670,3939,5,89,13818614,29658546
3413,tt0129387,302761,11,119,23000000,101009277
4029,tt0269356,1041,6,83,13602075,28610274
7406,tt2209400,1909,7,104,13739188,29162585
471,tt0040724,30065,6,133,3000000,9012000
2869,tt0108358,40225,11,130,25000000,56505065
2881,tt0109066,3890,5,118,13805403,29609324
5470,tt0912585,1017,6,78,13629230,28697078
6810,tt1653700,7137,7,98,14142763,31096345
7097,tt1867093,9797,11,90,12000000,25407671
983,tt0057344,3390,5,118,13727375,29294321
1385,tt0067995,1577,5,81,13591357,28636700
2583,tt0099785,522658,0,103,18000000,120071652
3590,tt0167341,33400,6,102,16140898,40725465
6844,tt1670703,1535,7,89,13698121,28984018
6995,tt1793223,2123,7,80,13747908,29216013
9054,tt5723416,6041,7,103,14100897,30831925
7,tt0011841,5376,4,145,13865569,29979055
2578,tt0099701,35316,6,83,16263356,41354588
2597,tt0100151,3034,5,112,13731628,29267314
