tconst,FullText
tt0022395,the skin game: an old traditional family and a modern family battle over land in a small english village and almost destroy each other.
tt0022436,street scene
tt0022458,tabu: a story of the south seas
tt0022485,tokyo chorus
tt0022550,waterloo bridge
tt0022599,a nous la liberte
tt0022626,american madness
tt0022787,wooden crosses
tt0022802,the dark horse
tt0022913,"freaks: a circus beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
tt0023293,the old dark house
tt0023303,one hour with you
tt0023395,east of shanghai
tt0023622,trouble in paradise
tt0023634,"i was born, but...: one of ozus most popular films, i was born, but . . . is a blithe portrait of the financial and psychological toils of one family, as told from the rascally point of view of a couple of stubborn little boys. for two brothers, the daily struggles of bullies and mean teachers is nothing next to the mortification they feel when they realize their good-natured fathers low-rung social status. reworked decades later as ozus technicolor comedy good morning, its a poignant evocation of the tumult of childhood, as well as a showcase for ozus expertly timed comedy editing. (janus film)"
tt0023649,vampyr
tt0023686,what price hollywood?
tt0023871,a song of lisbon
tt0023876,"cavalcade: a cavalcade of english life from new years eve 1899 until 1933 seen through the eyes of well-to-do londoners jane and robert marryot. amongst events touching their family are the boer war, the death of queen victoria, the sinking of the titanic and the great war."
tt0023937,passing fancy
tt0023943,bogus bandits
tt0023969,duck soup: rufus t. firefly is named president/dictator of bankrupt freedonia and declares war on neighboring sylvania over the love of wealthy mrs. teasdale.
tt0023973,the eagle and the hawk
tt0023986,employees entrance
tt0024127,our flags lead us forward
tt0024183,international house
tt0024184,"the invisible man: a scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
tt0024188,island of lost souls
tt0024216,king kong: an adventure film about a film crew in search of a monster on a remote island. the crew finds king kong and decides to take him back to new york as a money making spectacle. the film is a masterpiece of stop-motion in filmmaking history and inspired a line of king kong films. a film crew travels to a tropical island for an exotic location shoot and discovers a colossal ape who falls for their blonde starlet. he is then captured and transported back to new york city for public exhibition. film business screenplay film making film producer exotic island ship great depression unsociability king kong dinosaur new york city sea voyage damsel in distress empire state building actress animal horror great ape
tt0024264,little women: a chronicle of the lives of a group of sisters growing up in nineteenth-century america.
tt0024481,"queen christina: queen christina of sweden is a popular monarch who is loyal to her country. however, when she falls in love with a spanish envoy, she must choose between the throne and the man she loves. sweden ambassador queen duty biography peace love female protagonist mobster throne royal court spanish inn"
tt0024593,son of kong: the men who captured the giant ape king kong return to skull island and find his likewise gigantic but far more friendly son.
tt0024617,the story of temple drake
tt0024844,latalante
tt0024852,march of the wooden soldiers
tt0024902,blue steel
tt0024966,chapayev
tt0025028,dames
tt0025164,"the gay divorcee: an american woman travels to england to seek a divorce from her absentee husband, where she meets - and falls for - a dashing performer."
tt0025318,its a gift
tt0025410,little miss marker: bookie sorrowful jones receives a little girl as an iou.
tt0025440,the lucky texan
tt0025455,the man from utah
tt0025464,manhattan melodrama
tt0025898,toni
tt0025913,the triumph of the will
tt0026029,"the 39 steps: a man in london tries to help a counter-espionage agent. but when the agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information."
tt0026104,becky sharp
tt0026267,the dawn rider
tt0026424,the good fairy
tt0026529,"the informer: in 1922, an irish rebel informs on his friend, then feels doom closing in. in 1922, an irish rebel informs on his friend, then feels doom closing in. irish rebellion"
tt0027075,"a tale of two cities: a pair of lookalikes, one a former french aristocrat and the other an alcoholic english lawyer, fall in love with the same woman amongst the turmoil of the french revolution."
tt0027118,an inn in tokyo
tt0027214,the whole towns talking
tt0027438,"the charge of the light brigade: major vickers is an officer in the 27th lancers in india in 1856. whilst the regiment is out on manoeuvres, the barracks are attacked by surat khan and his soldiers who massacre british women and children. this leaves an inextinguishable memory and vickers promises to avenge the dead. ambush british army fort invasion attack heroism massacre india cavalry tragic death epic battle crimea fiance brothers brothers love same woman the light brigade horses british lancers society ball"
tt0027441,charlie chan at the race track
tt0027478,the crime of monsieur lange
tt0027532,dodsworth
tt0027652,fury
tt0027914,love on the run
tt0027977,"modern times: the tramp struggles to live in modern industrial society with the help of a young homeless woman. playing a tramp struggling to survive in a modern industrial society, charlie chaplin created one of the most elaborate cinematic critiques of the effects of mass production on 20th century life with modern times.  this digital restoration of the 1936 film entailed treating over 126,000 frames of film, correcting negative scratches and picture deterioration, and restoring its rich black and white cinematography. factory ambulance invention tramp great depression industrial revolution slapstick machine pardon guilty"
tt0028021,osaka elegy
tt0028070,our relations
tt0028096,the petrified forest
tt0028141,the prisoner of shark island
tt0028212,"sabotage: a scotland yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in london. but when the detectives cover is blown, the plot begins to unravel."
tt0028216,san francisco: a beautiful singer and a battling priest try to reform a barbary coast saloon owner in the days before the big earthquake. san francisco earthquake epic nob hill
tt0028249,show boat
tt0028315,stowaway
tt0028333,"swing time: lucky is tricked into missing his wedding to margaret by the other members of pops magic and dance act, and has to make $25000 to be allowed to marry her. he and pop go to new york where they run into penny, a dancing instructor. she and lucky form a successful dance partnership, but romance is blighted (till the end of the film at least!) by his old attachment to margaret and hers for ricardo, the band leader who wont play for them to dance together. a performer and gambler travels to new york city to raise the $25,000 he needs to marry his fiancee, only to become entangled with a beautiful aspiring dancer. musical ballroom dancing"
tt0028346,reefer madness: cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. a trio of drug dealers lead innocent teenagers to become addicted to reefer cigarettes by holding wild parties with jazz music.
tt0028355,theodora goes wild
tt0028575,angel
tt0028683,camille
tt0028708,charlie chan at the olympics
tt0028772,a day at the races
tt0028773,dead end
tt0028816,easy living
tt0028944,the good earth
tt0029146,the life of emile zola
tt0029192,make way for tomorrow
tt0029284,my favorite wife
tt0029310,night must fall
tt0029314,humanity and paper balloons
tt0029440,the prince and the pauper
tt0029442,the prisoner of zenda
tt0029608,stella dallas
tt0029658,they wont forget
tt0029747,way out west
tt0029844,the adventures of tom sawyer
tt0029850,alexander nevsky
tt0029942,boys town
tt0029947,"bringing up baby: while trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, baby."
tt0029957,la bete humaine
tt0029995,the citadel
tt0030127,the bakers wife
tt0030241,holiday
tt0030252,hotel du nord
tt0030341,"the lady vanishes: while travelling in continental europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
tt0030522,olympia part one: festival of the nations
tt0030637,pygmalion
tt0030643,port of shadows
tt0031002,the young in heart
tt0031022,the adventures of sherlock holmes
tt0031088,"beau geste: three adopted english brothers join the french foreign legion in north africa, after one of them steals their adoptive familys famous heirloom sapphire."
tt0031143,the cat and the canary
tt0031149,charlie chan in reno
tt0031210,dark victory
tt0031225,"destry rides again: when a tough western town needs taming, the mild-mannered son of a hard-nosed sheriff gets the job."
tt0031235,dodge city
tt0031334,the four feathers
tt0031381,"gone with the wind: an american classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the american south during the civil war and reconstruction. a southern belle struggles with the devastation of the civil war and reconstruction. this classic won 8 academy awards, including best picture. life and death civil war southern usa loss of child marriage proposal atlanta luxury plantation typhus business woman marriage crisis"
tt0031385,"goodbye, mr. chips"
tt0031387,the gorilla
tt0031398,gunga din
tt0031477,in name only
tt0031507,jesse james
tt0031580,the little princess
tt0031647,midnight
tt0031750,the old maid
tt0031754,on borrowed time
tt0031762,"only angels have wings: at a remote south american trading port, the manager of an air freight company is forced to risk his pilots lives in order to win an important contract."
tt0031851,the return of doctor x
tt0031867,the roaring twenties
tt0031951,son of frankenstein
tt0031971,"stagecoach: a simple stagecoach trip is complicated by the fact that geronimo is on the warpath in the area. the passengers on the coach include a drunken doctor, two women, a bank manager who has taken off with his clients money, and the famous ringo kid, among others. a group of people traveling on a stagecoach find their journey complicated by the threat of geronimo and learn something about each other in the process. prostitute marriage proposal new mexico arizona infant fugitive doctor desert stagecoach cowboy stranger indian attack cowboys and indians street shootout outlaw gang ostracism calvary drunkard outcasts"
tt0032080,union pacific
tt0032138,"the wizard of oz: young dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the wizard and ask for the things they miss most in their lives. the wicked witch of the west is the only thing that could stop them. adapted from l. frank baums timeless childrens tale about a kansas girls journey over the rainbow, the wizard of oz opened at graumans chinese theater on august 15, 1939. [warner bros.] witch adolescence based on novel secret identity clock dream lion tornado scarecrow musical crow music kansas classic imaginary land cowardliness sepia color"
tt0032143,"the women: wealthy mary haines is unaware her husband is having an affair with shopgirl crystal allen. sylvia fowler and edith potter discover this from a manicurist and arrange for mary to hear the gossip. on the train taking her to a reno divorce mary meets the countess and miriam (in an affair with fowlers husband). while they are at lucys dude ranch, fowler arrives for her own divorce and the countess meets fifth husband-to-be buck. back in new york, marys ex is now unhappily married to crystal who is already in an affair with buck. women nevada beauty salon based on play or musical mother daughter relationship new york city bathtub divorce gossip dressing room gold digger columnist"
tt0032152,you cant cheat an honest man
tt0032155,young mr. lincoln: a fictionalized account of the early life of the american president as a young lawyer facing his greatest court case.
tt0032156,the story of the last chrysanthemum
tt0032181,abe lincoln in illinois
tt0032284,broadway melody of 1940
tt0032325,charlie chan in panama
tt0032338,christmas in july
tt0032339,a chump at oxford
tt0032390,the devil bat
tt0032432,"edison, the man"
tt0032484,"foreign correspondent: on the eve of ww2, a young american reporter tries to expose enemy agents in london."
tt0032520,the ghost breakers
tt0032617,i love you again
tt0032653,jud su
tt0032701,the letter
tt0032762,the mark of zorro
tt0032819,murder over new york
tt0032904,"the philadelphia story: when a rich womans ex-husband (cary grant) and a tabloid-type reporter (james stewart) turn up just before her planned remarriage, she (katherine hepburn) begins to learn the truth about herself."
tt0032910,"pinocchio: lonely toymaker geppetto has his wishes answered when the blue fairy arrives to bring his wooden puppet pinocchio to life. before becoming a real boy, however, pinocchio must prove hes worthy as he sets off on an adventure with his whistling sidekick and conscience, jiminy cricket. from strombolis circus to pleasure island, pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. with a few mishaps along the way, geppettos little woodenhead finally gets it right, proving that when you wish upon a star dreams really can come true! a living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy. italy lie magic fairy pinocchio carnival wish boy nose puppet animation pool conscience jackass figaro sneezing toy comes to life"
tt0032943,"pride and prejudice: mr. and mrs. bennet have five unmarried daughters, and mrs. bennet is especially eager to find suitable husbands for them. when the rich single gentlemen mr. bingley and mr. darcy come to live nearby, the bennets have high hopes. but pride, prejudice, and misunderstandings all combine to complicate their relationships and to make happiness difficult."
tt0032981,"remember the night: a shoplifter and her prosecutor fall in love, creating tensions for his career and family."
tt0033022,saps at sea
tt0033045,"the shop around the corner: two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each others anonymous pen pal."
tt0033152,the thief of bagdad
tt0033253,"the westerner: judge roy bean, a self-appointed hanging judge in vinegarroon, texas, befriends saddle tramp cole harden, who opposes beans policy against homesteaders."
tt0033317,adventures of captain marvel
tt0033373,ball of fire: a group of professors working on a new encyclopedia encounter a mouthy nightclub singer who is wanted by the police to help bring down her mob boss lover.
tt0033477,come live with me
tt0033532,all that money can buy
tt0033533,the devil and miss jones
tt0033677,the great lie
tt0033717,high sierra
tt0033722,"hold back the dawn: stopped in mexico by u.s. immigration, georges iscovescu hopes to get into the country by marrying a citizen."
tt0033723,hold that ghost
tt0033766,it started with eve
tt0033774,johnny eager
tt0033787,king of the zombies
tt0033802,ladies in retirement
tt0033836,the little foxes
tt0033870,"the maltese falcon: a private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette. a private detective (humphrey bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette. san francisco detective loss of husband murder statuette private detective black bird sam spade private eye film noir"
tt0033873,man hunt
tt0033874,"the man who came to dinner: when acerbic critic sheridan whiteside slips on the front steps of a provincial ohio businessmans home and breaks his hip, he and his entourage take over the house indefinitely."
tt0033945,never give a sucker an even break
tt0034162,the sea wolf
tt0034224,spooks run wild
tt0034241,sun valley serenade
tt0034398,"the wolf man: a practical man returns to his homeland, is attacked by a creature of folklore, and infected with a horrific disease his disciplined mind tells him can not possibly exist."
tt0034478,the murderer lives at number 21
tt0034493,the children are watching us
tt0034521,black dragons
tt0034546,bowery at midnight
tt0034587,cat people: sketch artist irena dubrovna (simone simon) and american architect oliver reed (kent smith) fall in love and marry after a brief courtship. but irena believes that she suffers from an ancient curse and wont consummate the union for fear that she will turn into a panther compelled to kill her lover. love triangle jealousy cat zoo canary swimming pool suspense curse val lewton folklore film noir fear of intimacy unconsummated marriage
tt0034694,edge of darkness
tt0034798,the glass key
tt0034862,holiday inn
tt0034890,in this our life
tt0034891,in which we serve
tt0034946,kings row
tt0035009,the mad monster
tt0035015,the magnificent ambersons: the spoiled young heir to the decaying amberson fortune comes between his widowed mother and the man she has always loved.
tt0035017,carnival of sinners
tt0035093,"mrs. miniver: the minivers, an english middle-class family experience life in the first months of world war ii. england based on novel hostage world war ii prisoners of war pilot rose river patrol bombing dunkirk"
tt0035140,"now, voyager: a frumpy spinster blossoms under therapy and becomes an elegant, independent woman."
tt0035211,the pride of the yankees
tt0035228,the courtyard of the ballads
tt0035417,the talk of the town
tt0035429,went the day well?
tt0035432,this gun for hire
tt0035446,"to be or not to be: during the nazi occupation of poland, an acting troupe becomes embroiled in a polish soldiers efforts to track down a german spy."
tt0035567,woman of the year
tt0035640,the ape man
tt0035753,le corbeau
tt0035939,ghosts on the loose
tt0035966,hangmen also die!
tt0035979,heaven can wait
tt0036098,"lassie come home: after her destitute family is forced to sell her, a collie named lassie (pal) escapes from her new owner and begins the long trek from scotland to her yorkshire home."
tt0036152,the memphis belle: a story of a flying fortress
tt0036191,the adventures of baron munchausen
tt0036230,old acquaintance
tt0036260,phantom lady
tt0036342,shadow of a doubt: a young woman discovers her visiting uncle may not be the man he seems to be.
tt0036377,the song of bernadette
tt0036422,thank your lucky stars
tt0036430,this is the army
tt0036613,arsenic and old lace
tt0036653,bluebeard
tt0036716,cobra woman
tt0036775,"double indemnity: unsuspecting mr. dietrichson becomes increasingly accident prone after his icily calculating wife encourages him to sign a double indemnity policy proposed by a smooth-talking insurance agent. against a backdrop of distinctly california settings, the partners in crime plan the perfect murder to collect the insurance. perfect until a claims manager gets a familiar feeling of foul play and pursues the matter relentlessly. an insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigators suspicions. suicide insurance salesman insurance fraud step daughter train accident marriage femme fatale murder double cross classic noir film noir"
tt0036855,gaslight
tt0036922,hollywood canteen
tt0036962,it happened tomorrow
tt0037008,laura: a police detective falls in love with the woman whose murder hes investigating. detective obsession investigation painting advertising expert murder romance suspense investigator apartment classic noir
tt0037017,lifeboat: several survivors of a torpedoed ship find themselves in the same boat with one of the men who sunk it.
tt0037055,the mask of dimitrios
tt0037059,meet me in st. louis: young love and childish fears highlight a year in the life of a turn-of-the-century family.
tt0037075,ministry of fear
tt0037077,"the miracle of morgans creek: after an all-night send-off party for the troops, a small-town girl wakes up to find herself married and pregnant, but with no memory of her husbands identity."
tt0037084,the monster maker
tt0037101,"murder, my sweet"
tt0037151,one body too many
tt0037323,the fighting sullivans
tt0037367,this happy breed
tt0037415,the uninvited
tt0037469,the woman in the window
tt0037614,the corn is green
tt0037630,les dames du bois de boulogne
tt0037671,the enchanted cottage
tt0037885,love letters
tt0037913,"mildred pierce: after her cheating husband leaves her, mildred pierce proves she can become independent and successful, but cant win the approval of her spoiled daughter. a hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter. beach infidelity restaurant promise romance melodrama singing girl beach house mother daughter estrangement film noir"
tt0037939,the naughty nineties
tt0038000,pride of the marines
tt0038057,scarlet street: a man in mid-life crisis befriends a young woman after rescuing her from an attack. she believes he is rich and her boyfriend persuades her to con him out of his fortune. painter roommate pimp death sentence femme fatale murder electric chair scam new york city classic noir newspaper headline
tt0038107,the southerner
tt0038120,story of g.i. joe
tt0038238,johnny in the clouds
tt0038348,"beauty and the beast: jean cocteaus 1946 classic, newly restored to its original glorious black and white splendor.  (film forum)"
tt0038355,the big sleep
tt0038387,the brute man
tt0038559,gilda
tt0038577,green for danger
tt0038589,"the harvey girls: on a train trip west to become a mail-order bride, susan bradley (judy garland) meets a cheery crew of young women travelling out to open a harvey house restaurant at a remote whistle-stop."
tt0038700,the locket
tt0038733,stairway to heaven
tt0038762,my darling clementine
tt0038787,"notorious: released shortly after the war, this classic hitchcock film illustrates the battle between german nazis and american spies in rio de janeiro where a german businessman keeps a wine cellar with uranium ore. a woman is asked to spy on a group of nazi friends in south america. how far will she have to go to ingratiate herself with them? poison love at first sight marriage proposal undercover patriotism rio de janeiro wine cellar fbi atomic bomb staircase nazis daughter suspense espionage millionaire intoxication film noir"
tt0038823,paisan
tt0038824,panique
tt0038854,"the postman always rings twice: a married woman and a drifter fall in love, then plot to murder her husband."
tt0038890,"rome, open city"
tt0038913,shoeshine
tt0038965,somewhere in the night
tt0038975,the spiral staircase
tt0038991,the stranger: an investigator from the war crimes commission travels to connecticut to find an infamous nazi.
tt0039074,utamaro and his five women
tt0039101,whistle stop
tt0039208,boomerang!
tt0039224,"brute force: at a tough penitentiary, prisoner joe collins plans to rebel against captain munsey, the power-mad chief guard."
tt0039286,crossfire
tt0039302,dark passage
tt0039305,dead reckoning
tt0039370,the farmers daughter
tt0039416,gentlemans agreement: a magazine writer poses as a jew to expose anti-semitism. anti semitism soldier
tt0039420,the ghost and mrs. muir
tt0039502,"it happened on fifth avenue: a homeless new yorker moves into a mansion and along the way he gathers friends to live in the house with him. before he knows it, he is living with the actual home owners."
tt0039536,kiss of death
tt0039566,"life with father: a financier from new york city rules his numerous family, consisting of his wife and his four sons, with the meticulousness of a bookkeeper."
tt0039631,monsieur verdoux
tt0039651,record of a tenement gentleman
tt0039661,"nightmare alley: the rise and fall of stanton carlisle, a mentalist whose lies and deceit prove to be his downfall."
tt0039668,nosotros los pobres
tt0039676,the october man
tt0039677,odd man out
tt0039737,pursued
tt0039768,ride the pink horse
tt0039822,le silence de la mer
tt0039895,i became a criminal
tt0040068,abbott and costello meet frankenstein
tt0040308,easter parade
tt0040321,enchantment
tt0040338,the fallen idol: adapted from graham greenes story the basement room this 1948 film is told from the perspective of a child.
tt0040427,he walked by night
tt0040495,johnny belinda
tt0040506,key largo
tt0040522,"bicycle thieves: antonio, an unemployed man in the depressed post-wwii economy of italy, at last finds a good job hanging up posters, the only requirement for which is that he must have his own bicycle. when antonios bicycle is stolen, he and his son are forced to walk the streets of rome in search of it, or else face ruin. rome italian riding a bicycle society poster job thief search stolen bicycle madame unemployment realism"
tt0040525,the lady from shanghai
tt0040536,letter from an unknown woman
tt0040626,my dear secretary
tt0040662,"oliver twist: an orphan named oliver twist meets a pickpocket on the streets of london. from there, he joins a household of boys who are trained to steal for their master."
tt0040705,portrait of jennie
tt0040724,"red river: dunson is driving his cattle to red river when his adopted son, matthew, turns against him. texas dangerous kansas cattle drive revenge cattle adopted child cattle empire"
tt0040725,the red shoes
tt0040737,bitter rice
tt0040795,sitting pretty
tt0040843,the street with no name
tt0040866,la terra trema
tt0040872,"they live by night: an escaped convict, injured during a robbery, falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning."
tt0040897,"the treasure of the sierra madre: fred c. dobbs and bob curtin, both down on their luck in tampico, mexico in 1925, meet up with a grizzled prospector named howard and decide to join with him in search of gold in the wilds of central mexico. through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster. fred dobbs and bob curtin, two americans searching for work in mexico, convince an old prospector to help them mine for gold in the sierra madre mountains. mexico gold gold rush greed friends money american bandit dead mule gold mine prospector"
tt0040970,the winslow boy
tt0041088,act of violence
tt0041113,all the kings men
tt0041268,criss cross
tt0041386,the fountainhead
tt0041460,the hidden room
tt0041473,holiday affair: a young widow is romanced by a sales clerk whom she inadvertently got fired.
tt0041487,house of strangers
tt0041507,in the good old summertime
tt0041513,intruder in the dust
tt0041546,kind hearts and coronets
tt0041699,stray dog
tt0041786,the reckless moment
tt0041841,"sands of iwo jima: the relationship between sergeant stryker and a group of rebellious recruits is made difficult by the sergeants tough training tactics. at tarawa, the leathernecks have a chance to see stryker in action, and begin to appreciate him. a dramatization of the world war ii battle of iwo jima. sergeant iwo jima"
tt0041928,the stratton story
tt0041954,tension
tt0042046,the window
tt0042192,"all about eve: from the moment she glimpses her idol at the stage door, eve harrington is determined to take the reins of power away from the great actress margo channing. eve maneuvers her way into margos broadway role, becomes a sensation and even causes turmoil in the lives of margos director boyfriend, her playwright and his wife. only the cynical drama critic sees through eve, admiring her audacity and perfect pattern of deceit. an ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends. jealousy obsession manipulation fan engagement celebrity party melodrama playwright hollywood black and white director relationship insecurity envy broadway critic based on short story theater actress entertainment"
tt0042209,at war with the army
tt0042210,utopia
tt0042235,beauty and the devil
tt0042286,broken arrow
tt0042296,caged
tt0042369,d.o.a.
tt0042395,devils doorway
tt0042436,les enfants terribles
tt0042451,"father of the bride: the father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding."
tt0042648,kiss tomorrow goodbye
tt0042742,mister 880
tt0042788,night and the city
tt0042792,no way out
tt0042876,"rashomon: in ancient japan a crime take place as told from three different travelers who have experienced the crime: a man being killed and his wife being raped. which if any of the stories is true? an akira kurosawa film about morals, truth, and communication. the rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurais ghost and a woodcutter. japan rape samurai rain woodcutter medium sunlight court case dying and death court truth criminal multiple perspectives"
tt0042898,the rocking horse winner
tt0042906,la ronde
tt0042958,scandal
tt0042994,stage fright
tt0043014,sunset blvd.: a hack screenwriter writes a screenplay for a former silent-film star who has faded into hollywood obscurity. new years eve screenwriter jealousy butler loss of sense of reality diva hollywood madness aging actor silent film star film noir
tt0043041,three came home
tt0043137,winchester 73
tt0043278,"an american in paris: jerry mulligan is an exuberant american expatriate in paris trying to make a reputation as a painter. his friend adam is a struggling concert pianist whos a long time associate of a famous french singer, henri baurel. a lonely society woman, milo roberts, takes jerry under her wing and supports him, but is interested in more than his art. three friends struggle to find work in paris. things become more complicated when two of them fall in love with the same woman. paris world war ii musical parfum singing"
tt0043286,angels in the outfield
tt0043332,beautiful
tt0043338,"ace in the hole: a frustrated former big-city journalist now stuck working for an albuquerque newspaper exploits a story about a man trapped in a cave to revitalize his career, but the situation quickly escalates into an out-of-control media circus. billy wilders 1951 portrait of a corrupt media circus in which a down-on-his-luck nyc reporter (douglas) takes a job with a small-town paper that provides him with no challenges until he exploits the story of a man trapped in a mine.  (two boots pioneer theater) sheriff journalism new mexico satire rescue reporter trapped desert media hype newspaper man film noir film gris"
tt0043379,captain horatio hornblower
tt0043435,cry danger
tt0043459,decision before dawn
tt0043614,the idiot
tt0043757,lost continent
tt0043769,the magic box
tt0043873,has anybody seen my gal
tt0043879,"on dangerous ground: rough city cop jim wilson is disciplined by his captain and is sent upstate, to a snowy mountain town, to help the local sheriff solve a murder case."
tt0043895,the painted hills
tt0043918,the little world of don camillo
tt0043927,la poison
tt0043959,rawhide
tt0044008,a christmas carol
tt0044314,5 fingers
tt0044320,abbott and costello meet captain kidd
tt0044406,bela lugosi meets a brooklyn gorilla
tt0044418,big jim mclain
tt0044420,the big trees
tt0044533,deadline - u.s.a.
tt0044602,fanfan la tulipe: this stylish swashbuckler french comedy was originally released to great acclaim in 1952.
tt0044741,"ikiru: kanji watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. learning he has cancer, he starts to look for the meaning of his life. a bureaucrat tries to find meaning in his life after he discovers he has terminal cancer. bureaucracy japan age difference bar office night life sense of life playground obsequies swing loneliness infatuation bureaucrat"
tt0044750,"invasion, u.s.a."
tt0044926,moulin rouge
tt0044937,my cousin rachel
tt0044982,the flavor of green tea over rice
tt0045009,park row
tt0045102,room for one more: a fairly well-to-do family takes in two troubled orphans.
tt0045112,the life of oharu
tt0045161,the sniper
tt0045201,the stranger in between
tt0045205,sudden fear
tt0045251,othello
tt0045274,"umberto d.: this 50th anniversary restoration and re-release of vitorio di sicas 1952 film, considered a masterpiece of italian neo-realism, portrays a hero of everday life."
tt0045465,99 river street
tt0045492,all i desire
tt0045518,arrowhead
tt0045537,the band wagon: a pretentiously artistic director is hired for a new broadway musical and changes it beyond recognition.
tt0045551,beneath the 12-mile reef
tt0045554,welcome mr. marshall!
tt0045555,the big heat
tt0045693,do bigha zamin
tt0045793,"from here to eternity: in 1941 hawaii, a private is cruelly punished for not boxing on his units team, while his captains wife and second in command are falling in love. this 1953 classic portrays the loves, hopes and dreams of the soldiers in a close-knit army barracks in hawaii shortly before the attack on pearl harbor. hawaii harassment pearl harbor bombing military life army base"
tt0045826,glen or glenda
tt0045848,sawdust and tinsel
