,movie,genres,language,overview
34,tt0082427,['Horror'],['English'],['Four teenage friends spend the night in a carnival funhouse and are stalked by a deformed man in a Frankenstein mask.']
35,tt0082511,"['Thriller', 'Horror']",['English'],"['Four college pledges are forced to spend the night in a deserted old mansion, where they are stalked by the monstrous survivor of a family massacre years earlier.']"
36,tt0083006,"['Drama', 'Mystery', 'Thriller', 'Romance']",['English'],['An Arab oil organization devises a plan to wreck the world economy in order to cause anarchy and chaos.']
37,tt0083190,"['Action', 'Drama', 'Thriller', 'Crime']",['English'],"['Becoming closer to his dream of leading a normal life, a professional safecracker agrees to do a job for the mafia, who have other plans for him.']"
38,tt0084237,"['Adventure', 'Drama', 'Fantasy', 'Animation', 'Family']","['English', 'German']","[""A brave unicorn and a magician fight an evil King who is obsessed with attempting to capture the world's unicorns.""]"
39,tt0085244,"['Drama', 'Comedy']",['English'],"[""Good friends reunite for the funeral of a college pal. During the weekend that follows, they compare their 60's ideas with the harsh reality of their lives in the 80's, and discover that in a cold world, you need your friends to keep you warm. [Sony Pictures]""]"
40,tt0085276,"['Action', 'Drama', 'Thriller', 'Romance']","['English', 'Italian']","['When Jesse Lujack steals a car in Las Vegas and drives down to LA, his criminal ways only escalate- but when will it end?']"
41,tt0086102,"['Biography', 'Drama', 'History', 'Sport', 'Family']",['English'],['The life of the 1930s Australian champion race horse who dies mysteriously in California.']
42,tt0087414,"['Drama', 'Thriller', 'Crime']","['English', 'Spanish']","['Ten years later, after ratting on his old mobster friends in exchange for personal immunity, two hit men drive a hardened criminal to Paris for his execution. However, while on the way, whatever can go wrong, does go wrong.']"
43,tt0088146,"['Drama', 'Mystery', 'Crime', 'War']",['English'],['An African American officer investigates a murder in a racially charged situation in World War II.']
44,tt0088224,"['Action', 'Drama', 'Comedy']",['English'],"['Sergeant Major Zack arrives at a new army base with his wife, son and Sherman tank. One night at a bar he ""stops"" a pimp/deputy from beating a girl. The corrupt sheriff uses Zack\'s son for revenge and Zack uses his tank.']"
45,tt0089622,"['Sci-Fi', 'Comedy']",['English'],"['A trio of moronic aliens crash-land on Earth and become celebrities, while a fourth alien, who arrives separately, finds himself ignored.']"
46,tt0090563,"['Drama', 'Romance']",['French'],['A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.']
47,tt0091064,"['Sci-Fi', 'Thriller', 'Horror']",['English'],['A scientist (Goldblum) slowly becomes a human sized fly after his teleport device malfunctions.']
48,tt0092117,"['Comedy', 'Musical']",['English'],"['A small but growing Texas town, filled with strange and musical characters, celebrates its sesquicentennial and converge on a local parade and talent show.']"
49,tt0092548,"['Action', 'Drama']",['English'],"['On a remote Caribbean island, Army Ranger Joe Armstrong investigates the disappearance of several marines, which leads him to The Lion, a super-criminal who has kidnapped a local scientist and mass-produced an army of mutant Ninja warriors.']"
50,tt0093036,"['Drama', 'Mystery', 'Thriller']",['English'],['Children are hidden away in the attic by their conspiring mother and grandmother.']
51,tt0093756,"['Comedy', 'Crime']",['English'],['The motley crew of Police Academy graduates have been assigned to train a group of civilian volunteers to fight crime that is plaguing their streets.']
52,tt0093986,"['Mystery', 'Thriller']",['English'],"['An artist, framed for the murder of a woman, is drawn into a web of corruption, blackmail and deceit.']"
53,tt0094737,"['Drama', 'Fantasy', 'Comedy', 'Romance', 'Family']",['English'],"['At a carnival, young Josh Baskin wishes he was big only to awake the next morning and discover he is!  With the help of his friend Billy, Josh lands a job at a toy company. But the more he experiences being an adult, the more Josh longs for the simple joys of childhood. [Twentieth Century Fox]']"
54,tt0094799,['Drama'],"['English', 'French']",['A disillusioned young writer living in New York City (Michael J. Fox) turns to drugs and drinking to block out the memories of his dead mother and estranged wife.']
55,tt0095497,['Drama'],['English'],"['A thought-provoking interpretation of the classic tale of Christ, Temptation explores the idea of Christ as a mere mortal, who, at the threshold of self-sacrifice, is tempted by the desire to continue on with his life.']"
56,tt0095953,['Drama'],"['English', 'Italian']","[""What begins with a cold-hearted attempt by one man to steal his autistic brother's inheritance evolves into a cross-country odyssey of love, family and self-discovery.""]"
57,tt0096037,"['Comedy', 'Romance', 'Music']",['English'],"['A group of teenagers have a band, Mystery, with Jennie as the lead singer. They go to a bar at the coast and play during the summer. Jennie falls in love with the owner of the bar, Martin. They get an offer to play in Europe and perhaps become famous. But are they ready for it?']"
58,tt0097940,"['Drama', 'Comedy', 'Crime']","['English', 'Italian', 'Japanese']",['Three stories are connected by a Memphis hotel and the spirit of Elvis Presley.']
59,tt0098319,"['Drama', 'Comedy', 'Romance']",['English'],"[""Shirley's a middle-aged Liverpool housewife, who finds herself talking to the wall while she prepares her husband's chip'n'egg, wondering what happened to her life. She compares scenes in her current life with what she used to be like and feels she's stagnated and in a rut. But when her best friend wins an all-expenses-paid vacation to Greece for two, Shirley begins to see the world, and herself, in a different light.""]"
60,tt0099785,"['Comedy', 'Crime', 'Family']",['English'],"[""Eight-year-old Kevin McCallister has become the man of the house, overnight!  Accidentally left behind when his family rushes off on a Christmas vacation, Kevin gets busy decorating the house for the holidays. But he's not decking the halls with tinsel and holly. Two bumbling burglars are trying to break in, and Kevin's rigging a bewildering battery of booby traps to welcome them! (20th Century Fox Corp.)\r\n""]"
61,tt0100332,['Documentary'],['English'],"[""A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.""]"
62,tt0101660,['Comedy'],['English'],"['A man pursues stand-up comedy encouraged by his fellow garbage man. Though his friend, who accompanies him on accordion, continues to tell him how great he is, he actually stinks. When the ""comedian"" grows a third arm out of his back, the friend uses this twist to get him signed up with a sleazy talent agent, and it begins to look like his career is on the move, even though his girlfriend has left him.']"
63,tt0101698,"['Drama', 'Fantasy', 'Comedy']","['English', 'Japanese']","['In an afterlife way station resembling a block of hotels, the lives of the recently-deceased are examined in a court-like setting.']"
64,tt0101775,"['Drama', 'Fantasy', 'Comedy']",['English'],['A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.']
65,tt0102388,"['Drama', 'Romance']",['English'],['A coming of age story set in the south of the U.S. when Elvis was King.']
66,tt0104299,"['Action', 'Sci-Fi', 'Thriller', 'Crime']",['English'],"['Bounty hunters from the future transport a doomed race car driver to New York City in 2009, where his mind will be replaced with that of a dead billionaire.']"
67,tt0105046,"['Drama', 'Western']",['English'],"['A nomadic farm worker looks after his dimwitted, gentle-giant friend during the Great Depression.']"
68,tt0105104,"['Action', 'Thriller', 'Crime']",['English'],['An airline security expert must take action when he finds himself trapped on a passenger jet when terrorists seize control of it.']
69,tt0105438,"['Biography', 'Drama', 'Documentary']",['Spanish'],"['A lovely portrait of celebrated Spanish painter Antonio Lopez Garcia as he paints the quince tree growing in his courtyard.  The two and a half hour film offers perspectives on everything from artistic vision, realism, painting and film to life, mortality and possibility of eternal rebirth.']"
70,tt0107387,"['Fantasy', 'Horror', 'Comedy']",['English'],"['An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold.']"
71,tt0107507,"['Mystery', 'Comedy']",['English'],"[""A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.""]"
72,tt0108255,"['Adventure', 'Sci-Fi', 'Fantasy', 'Comedy', 'Family']",['English'],"['Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.']"
73,tt0108358,"['Action', 'Biography', 'Drama', 'History', 'Romance', 'Western']","['English', 'Latin']","[""A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.""]"
74,tt0110367,"['Drama', 'Romance', 'Family']","['English', 'German']","['With her husband off at war, Marmee (Susan Sarandon) is left alone to raise their four daughters, her little women. There is the spirited Jo (Winona Ryder); conservative Meg (Trini Alvarado); fragile Beth (Claire Danes); and romantic Amy (Kirsten Dunst and Samantha Mathis). As the years pass, the sisters share some of the most cherished and painful memories of self-discovery, as Marmee and Aunt March (Mary Wickes) guide them through issues of independence, romance and virtue. [Sony Pictures]']"
75,tt0110989,"['Comedy', 'Family']","['English', 'Latin']",['A rich young boy finds his family targeted in an inside job and must use his cunning to save them.']
76,tt0111019,['Drama'],['French'],"['At a boarding school in the south of France in 1962, Maite, Francois, Serge and Henri explore friendship, sexuality and love at the end of the Algerian War.']"
77,tt0111282,"['Action', 'Adventure', 'Sci-Fi']","['English', 'Swedish', 'Norwegian']","['An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.']"
78,tt0114388,"['Drama', 'Romance']","['English', 'French']","[""Mrs. Dashwood and her daughters, Elinor, Marianne and teen-age tomboy Margaret, are cruelly deprived of their home and inheritance on the death of their father. The law decrees that magnificent Norland Park must pass to his son by a previous marriage, the girls' stepbrother John, who is partnered in life by the genteely grasping Fanny. The impoverished Dashwoods are saved from further humiliation by Mrs. Dashwood's cousin, Sir John Middleton. He offers them a new home, Barton Cottage, on his vast Devonshire estate.""]"
79,tt0114496,"['Drama', 'Comedy', 'Romance']",['English'],"[""A woman's world is rocked when she discovers her husband is cheating on her.""]"
80,tt0116289,"['Drama', 'Comedy', 'Romance', 'Crime']",['English'],"[""Feeling Minnesota explores the tormented relationship between two brothers, Sam (D'Onofrio) and Jjaks (Reeves), and the young woman, Freddie (Diaz), who comes between them. (Fine Line)""]"
81,tt0118843,"['Comedy', 'Romance', 'Music']","['German', 'Serbian', 'Romany', 'Bulgarian']",['The film centers around a group of gypsies who live on the banks of the Danube River.  (USA Films)']
82,tt0120696,"['Action', 'Drama', 'Thriller', 'Crime']",['English'],"['A torrential, excitement-swept thriller set in the flood-ravaged, evacuated town of Huntingburg, where armored car driver Tom (Slater) is in deep danger.  (Paramount)']"
83,tt0120731,"['Drama', 'Fantasy', 'Romance', 'Music']","['English', 'French']","['An epic story of a young man (Roth) who is born on January 1, 1900, and thus his name Nineteen Hundred.  He grows up always having lived on an ocean liner, becoming a talented pianist.']"
84,tt0120836,"['Comedy', 'Romance']",['English'],"['A comedy about finding your true love at any price, even if it involves a little dognapping along the way. (Warner Bros.)']"
85,tt0120917,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']",['English'],"['Emperor Kuzco (David Spade) is turned into a llama by his devious advisor, Yzma (Eartha Kitt), and her hunky henchman, Kronk (Patrick Warburton). Now the ruler who once had it all must form an unlikely alliance with a pleasant peasant named Pacha (John Goodman). Together, they must overcome their differences as they embark on a hilarious, ""groovy"" adventure. [Walt Disney Pictures]']"
86,tt0128445,"['Drama', 'Comedy']","['English', 'Latin']","['Max Fischer, a tenth grade scholarship student at Rushmore Academy, falls in love with Rosemary Cross, a widowed elementary school teacher, but his friendship with Herman Blume, an unhappy, wealthy industrialist, suffers when Blume falls for Miss Cross as well.']"
87,tt0129387,"['Comedy', 'Romance']",['English'],"[""An outrageous, gross-out romantic comedy starring Cameron Diaz as every guy's ideal and Ben Stiller as her hopeless suitor.""]"
88,tt0130444,"['Drama', 'Romance', 'War']",['German'],"['In 1943, while the Allies are bombing Berlin and the Gestapo is purging the capital of Jews, a dangerous love affair blossoms between two women.  (Zeitgeist Films)']"
89,tt0132245,"['Action', 'Drama', 'Sport']","['English', 'German', 'Spanish']","['A high-tech action drama set in the dangerous, exhilarating world of open-wheel racing, Driven centers on the lives and careers of four drivers chasing the ultimate adrenaline rush.  (Warner Brothers)']"
90,tt0139809,"['Sci-Fi', 'Mystery', 'Thriller', 'Fantasy', 'Romance']",['English'],"['A sci-fi thriller that explores the ominous possibility of computer-simulated universes, where people only believe they are real.  (Sony)']"
91,tt0143861,"['Music', 'Documentary']",['English'],"[""A feature length film about the hip-hop DJ and today's turntablist movement. From the South Bronx in the 70's to San Francisco today, the world's best scratchers, diggers, party-rockers and producers celebrate beats, breaks, battles, and the infinite possibilities of vinyl.  (Palm Pictures)""]"
92,tt0163676,"['Drama', 'Mystery', 'Thriller']",['English'],"['While working at a country club, a young woman is brought into a small group of wealthy college students.  She begins dating a tennis pro, who happens to be the boyfriend of the girl who brought her into the group, and she then sees the darker side of their lifestyle.']"
93,tt0166110,"['Horror', 'Crime']","['English', 'French', 'Spanish']","['Over 20 years after his violent death in 1979, Jimmy Bones (Dogg) returns as a ghost to wreak revenge on those who killed him and to clean up his crime and drug filled neighborhood.']"
94,tt0175880,['Drama'],"['English', 'German', 'French']","['On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous lost son, a police officer in love, a boy genius, an ex-boy genius, a game show host and an estranged daughter will each become part of a dazzling multiplicity of plots, but one story.  [New Line Cinema]']"
95,tt0176269,"['Action', 'Sci-Fi']",['English'],"['Luc Deveraux (Van Damme), who has survived his experiences as a Universal Soldier, recovered, and is now retired and working as a technical advisor on a government project to revive and improve the Universal Soldier training program, creating stronger, smarter and more versatile cyborg Soldiers.   When S.E.T.H., the supercomputer controlling the Soldiers, becomes discontent and takes over a la HAL, Luc is the only one who can battle this team of deadly warriors and save the human race.']"
96,tt0177650,['Comedy'],['English'],"['A satirical romp set in the early sixties, Company Man is the story of a nerdy Connecticut grammar school teacher who stumbles into becoming a legendary international spy hero in an effort to avoid his nagging wife.  (Paramount Pictures)']"
97,tt0180052,"['Action', 'Sci-Fi', 'Comedy']",['English'],"['Set on the moon in the year 2087, this comedy stars Eddie Murphy as Pluto Nash, the audacious, successful owner of the hottest nightclub in town who finds himself in trouble with lunar gangsters.  (Warner Bros.)']"
98,tt0190332,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",['Mandarin'],"['In 19th century China, a magical sword given by a warrior (Chow Yun-Fat) to his lover (Michelle Yeoh) is stolen and the quest to find it ensues.  The search leads to the House of Yu where the story travels in a different direction with the introduction of a mysterious assassin and another love story.']"
99,tt0205461,"['Fantasy', 'Family']",['English'],['A magic journey happens when a young girl visitis her grandfather and finds herself on a special train pulled by an engine named Thomas.']
100,tt0209144,"['Mystery', 'Thriller']",['English'],"['Dismissed by the police, Leonard Shelby (Pearce) is obsessed with pursuing vengeance for the rape and murder of his wife.  The difficulty of his quest is compounded by his rare, untreatable form of memory loss. ']"
101,tt0209463,['Drama'],['Persian'],"['With a strange mission, a group of people from the city come to a small village in Iran.  They are awaiting the death of a 100+ year old woman, while pretending to be communication engineers.']"
102,tt0213790,['Comedy'],['English'],"['Leon Phelps (Meadows) is the grooviest, smooth-talking, woman-chaser around. Known suitably to all as the Ladies Man, Leon hosts a popular late-night radio call-in show dispensing advice on affairs of the heart.  (Paramount Pictures)']"
103,tt0220506,"['Thriller', 'Horror']",['English'],"[""When a group of teens win a contest to spend a night in Michael Myers' childhood home to be broadcast live on the Internet, things go frightfully wrong and the game turns into a struggle to make it out of the house alive.  (Dimension Films)""]"
104,tt0227277,"['Drama', 'Thriller', 'Romance', 'Crime']",['Spanish'],"['Set in Argentina in 1965, this story follows the tumultuous relationship between two men who became lovers and ultimately ruthless bankrobbers in a notoriously famous footnote in the annals of crime history.  (Strand Releasing)']"
105,tt0233687,"['Biography', 'Documentary']",['English'],['A documentary about the life and times of televangelist Tammy Faye Bakker Messner.']
106,tt0241760,['Comedy'],['English'],['A hilarious story about wiping the slate clean and reinventing yourself.  (Sony)']
107,tt0245573,"['Drama', 'Romance']",['English'],"['A unique coming of age story about friends on the threshold of adulthood and how they breech that uneasy time, still struggling to maintain their true sense of being. (IFC Films)']"
108,tt0246989,['Comedy'],['English'],"[""The story of Michael Delaney (O'Connell), a struggling cartoonist, who must get his best friend and avowed bachelor, Kyle Bremmer (Busey) to wed within 30 days in order to win a bet and save himself from financial ruin.  (Revolution Studios)""]"
109,tt0259324,"['Action', 'Thriller', 'Fantasy']",['English'],"['Superstar motorcycle stunt rider Johnny Blaze (Cage) strikes a deal with the vile Mephistopheles for the most precious of commodities, his immortal soul. Now Johnny Blaze is forever destined to ride night after night as the host to the powerful supernatural entity known as the Ghost Rider.  (Sony Pictures)']"
110,tt0261199,"['Action', 'Drama', 'Thriller', 'Crime']",['English'],"['Paul (Evans) is a young punk who agrees to courier a drug for Mr. Ball (Madsen).  When things go wrong, Paul and his girlfriend go on the lam and share the strange drug.']"
111,tt0262432,['Drama'],['English'],"['Set in the landscape of a rural Southern town, George Washington is a stunning portrait of how a group of young kids come to grips with a hard world of choices and consequences. During an innocent game in an abandoned amusement park, a member of the group dies.  (Cowboy Booking International)']"
112,tt0266543,"['Adventure', 'Comedy', 'Animation', 'Family']",['English'],['This visually stunning underwater adventure follows the comedic and eventful journeys of two fish - a father and his son Nemo - who become separated in the Great Barrier Reef.  [Disney/Pixar]']
113,tt0266987,"['Action', 'Thriller', 'Crime']","['English', 'German', 'French', 'Arabic', 'Cantonese']","['On the brink of retirement, a veteran CIA agent (Redford) takes on his most dangerous and personal mission ever when he must organize the rescue of his one-time protégé (Pitt) who has been captured by the Chinese while on a rogue mission.']"
114,tt0274497,['Drama'],"['Italian', 'Turkish']","['When a ten-year marriage ends with the death of the husband in a car crash, the distraught wife discovers her husband had a male lover.  Against all odds, they become friends.']"
115,tt0281373,"['Adventure', 'Sport', 'Comedy', 'Family']",['English'],"[""When Miami dentist (Gooding, Jr.) finds out that he's been named in a will, he travels to Alaska thinking he's going to be rich.  Soon, his dream of wealth turns to mush when he finds out he has been left a team of racing dogs. As Ted's life goes to the dogs, he vows to learn to mush, no matter what it takes.  (Walt Disney Pictures)""]"
116,tt0286716,"['Action', 'Sci-Fi', 'Thriller']","['English', 'Spanish']",['Acclaimed Oscar-winning filmmaker Ang Lee turns his masterful eye to adapting the classic Marvel Comics character for the big screen.  (Universal Pictures)']
117,tt0287467,['Drama'],['Spanish'],"['A story about the friendship between two men, about loneliness and the long convalescence of wounds provoked by passion. (Sony Pictures Classics)']"
118,tt0303816,"['Thriller', 'Horror']",['English'],"['Based on skin-curdling tales of the real life ""flesh eating virus,"" Cabin Fever blends the elements of classic horror films of the 70\'s and 80\'s with modern day medical terror.  (Lions Gate Films)']"
119,tt0304711,"['Action', 'Mystery', 'Thriller', 'Horror']","['English', 'Assyrian Neo-Aramaic', 'Aramaic']","['For centuries, a secret Order has existed within the Church.  Following a series of unexplained murders, a renegade priest (Ledger) begins an investigation that hurls him into a maelstrom of unimaginable evil and, ultimately, murder and the knowledge that there is a fate worse than death.  (Fox)']"
120,tt0306841,"['Adventure', 'Comedy', 'Romance', 'Music', 'Family']","['English', 'Italian']","['Disney serves up the comic foibles of lovable Lizzie McGuire and her pals, who all pack their bags and plan to live la dolce vita while on a class trip to Italy. When Lizzie is mistaken for Isabella (who is part of an Italian pop duo) the adventure really begins.  (Disney)']"
121,tt0315543,"['Drama', 'Romance']",['Danish'],"['Adhering to the guidelines of the celebrated Dogme 95 manifesto, this film focuses on a young engaged couple in Copenhagen who finds their relationship changed forever when the man is hit by a car and paralyzed.']"
122,tt0328844,['Drama'],"['French', 'Danish', 'Swedish', 'Norwegian']","['A gripping drama from celebrated Danish director Per Fly, The Inheritance is the story of a man transformed by power. [Cinema Guild]']"
123,tt0329393,['Drama'],"['English', 'Urdu', 'Hindi', 'Punjabi', 'Bengali', 'Tamil']",['A single man and a married woman from different religious communities fall in love despite the variance of their faith and belief.']
124,tt0333764,"['Drama', 'Romance']",['Mandarin'],['A romantic triangle teen drama set in modern Taipei.']
125,tt0346491,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance', 'War']",['English'],"[""Based on the true story of one of history's most luminous and influential leaders, Alexander takes a bold, honest look at Alexander's life and his relationships.  (Warner Bros.)""]"
126,tt0347457,['Drama'],['Swedish'],['Daybreak is a film about people in a state of change. It is a story about the need for a chance in order to survive; it is a story about love being greater than hate.  (Newmarket Films)']
127,tt0359013,"['Action', 'Adventure', 'Thriller', 'Fantasy']","['English', 'Esperanto']",['Wesley Snipes returns as the iconic vampire hunter Blade in this third installment of the hit film series.  (New Line Cinema)']
128,tt0361841,"['Drama', 'Comedy', 'Romance']",['English'],"['A dark comedy about new boyfriends, ex-girlfriends and little black books. (Sony Pictures)']"
129,tt0362270,"['Adventure', 'Drama', 'Comedy']","['English', 'German', 'French', 'Italian', 'Portuguese', 'Filipino', 'Tagalog', 'Icelandic']","[""Internationally famous oceanographer Steve Zissou (Murray) and his crew set sail on an expedition to hunt down the mysterious, elusive, possibly non-existent Jaguar Shark that killed Zissou's partner during the documentary filming of their latest adventure.  (Touchstone Pictures)""]"
130,tt0368578,"['Adventure', 'Drama', 'Comedy', 'Romance', 'Family']",['English'],"[""In this family comedy, Nick (Ice Cube), a smooth operator, is trying to land a date with a young, attractive divorcee, Suzanne (Long). He gallantly offers to drive her children from Portland, Oregon to Vancouver to be reunited with their mom. What Nick doesn't know is that Suzanne's children think that no man is good enough for their mom and will do everything they can to make the trip a nightmare for him.  Fasten your seat belts, it's going to be a bumpy ride.  (Sony)""]"
131,tt0372873,"['Action', 'Drama', 'Thriller', 'Fantasy', 'Horror']","['English', 'Korean']","[""A beautiful young woman possesses the power to transform a legendary giant serpent into an almighty dragon that can only ascend into heaven with the woman's ultimate sacrifice. But the forces of darkness are out to claim the young woman as their own while her reincarnated lover and his aged mentor stand in their way.  (Freestyle Releasing)""]"
