,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,title_language,isEN
29,tt0033317,adventures of captain marvel,Adventures of Captain Marvel,1941,,216,1268.0,True,en,True
30,tt0033373,ball of fire,Ball of Fire,1941,,111,12007.0,True,en,True
31,tt0033723,hold that ghost,nan,1941,,86,3699.0,True,en,True
32,tt0034546,bowery at midnight,nan,1942,,61,1090.0,False,en,True
33,tt0035017,carnival of sinners,nan,1943,,78,1378.0,True,en,True
34,tt0035211,the pride of the yankees,The Pride of the Yankees,,1942,128,10584.0,True,en,True
35,tt0035753,le corbeau,Le corbeau,1943,,92,9612.0,True,fr,False
36,tt0035979,heaven can wait,Heaven Can Wait,1943,,112,10637.0,True,en,True
37,tt0037077,the miracle of morgan's creek,The Miracle of Morgan's Creek,1944,,98,7330.0,True,en,True
38,tt0037469,the woman in the window,nan,1944,,107,15428.0,True,en,True
39,tt0037630,les dames du bois de boulogne,Les dames du Bois de Boulogne,1945,,86,4227.0,True,fr,False
40,tt0038700,the locket,The Locket,1946,,85,2567.0,True,en,True
41,tt0038762,my darling clementine,nan,,1946,97,22867.0,True,en,True
42,tt0038824,panique,nan,1946,,99,1874.0,True,fr,False
43,tt0038890,"rome, open city",Roma città aperta,,1945,103,25426.0,True,it,False
44,tt0038965,somewhere in the night,Somewhere in the Night,1946,,110,2811.0,True,en,True
45,tt0038991,the stranger,nan,1946,,95,25729.0,True,en,True
46,tt0039661,nightmare alley,nan,1947,,110,8908.0,True,en,True
47,tt0039668,nosotros los pobres,Nosotros los pobres,1948,,128,1034.0,True,es,False
48,tt0040068,abbott and costello meet frankenstein,nan,1948,,83,17153.0,True,no,False
49,tt0041513,intruder in the dust,Intruder in the Dust,1949,,87,2201.0,True,en,True
50,tt0041841,sands of iwo jima,nan,1949,,100,10204.0,True,en,True
51,tt0042788,night and the city,nan,1950,,101,13068.0,True,en,True
52,tt0043614,the idiot,nan,1951,,166,4929.0,True,en,True
53,tt0044420,the big trees,The Big Trees,1952,,89,1611.0,False,en,True
54,tt0044937,my cousin rachel,My Cousin Rachel,,1952,98,2759.0,True,en,True
55,tt0045112,the life of oharu,Saikaku ichidai onna,1952,,148,,True,et,False
56,tt0045518,arrowhead,Arrowhead,1953,,105,1399.0,False,en,True
57,tt0046816,the caine mutiny,The Caine Mutiny,1954,,124,26940.0,True,en,True
58,tt0046874,the country girl,nan,1954,,104,5845.0,True,en,True
59,tt0046878,crime wave,Crime Wave,1953,,73,3642.0,True,hr,False
60,tt0046912,dial m for murder,nan,1954,,105,168570.0,True,da,False
61,tt0047094,hobson's choice,Hobson's Choice,1954,,108,7112.0,True,en,True
62,tt0047528,la strada,nan,1954,,108,61397.0,True,es,False
63,tt0048545,rebel without a cause,nan,1955,,111,87634.0,True,en,True
64,tt0049010,bigger than life,Bigger Than Life,1956,,95,,True,da,False
65,tt0049147,dobry vojak svejk,Dobrý voják Svejk,1957,,108,1223.0,True,sk,False
66,tt0049201,the fastest gun alive,nan,1956,,89,3023.0,True,en,True
67,tt0049710,samurai iii: duel at ganryu island,Miyamoto Musashi kanketsuhen: kettô Ganryûjima,1956,,105,5906.0,True,sw,False
68,tt0049866,"toto, peppino, and the hussy","Totò, Peppino e la... malafemmina",1956,,106,1806.0,True,it,False
69,tt0050147,attack of the crab monsters,Attack of the Crab Monsters,1957,,63,3242.0,False,en,True
70,tt0050610,kronos,Kronos,1957,,78,1763.0,False,lt,False
71,tt0051398,the barbarian and the geisha,nan,1958,,105,1924.0,False,en,True
72,tt0051720,equinox flower,nan,1958,,118,,True,en,True
73,tt0051866,the lineup,nan,1958,,86,3601.0,True,en,True
74,tt0052077,plan 9 from outer space,nan,1957,,79,37818.0,False,en,True
75,tt0052156,the saga of the viking women and their voyage to the waters of the great sea serpent,The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,1957,,66,,False,en,True
76,tt0052286,terror from the year 5000,Terror from the Year 5000,1958,,66,1401.0,False,en,True
77,tt0052289,the thing that couldn't die,nan,1958,,69,1720.0,False,en,True
78,tt0052378,war of the colossal beast,War of the Colossal Beast,1958,,69,2266.0,False,en,True
79,tt0052961,kapo,nan,1960,,117,2232.0,True,tl,False
80,tt0052969,the killer shrews,nan,1959,,69,4912.0,False,en,True
81,tt0052997,the league of gentlemen,The League of Gentlemen,1960,,116,4394.0,True,en,True
82,tt0053039,the facts of murder,Un maledetto imbroglio,1959,,115,1204.0,True,it,False
83,tt0053065,middle of the night,Middle of the Night,1959,,118,1232.0,True,en,True
84,tt0053390,floating weeds,Ukikusa,1959,,119,7756.0,True,sw,False
85,tt0054067,black sunday,nan,1960,,87,14926.0,True,tr,False
86,tt0054357,swiss family robinson,nan,1960,,126,15495.0,True,en,True
87,tt0054743,the children's hour,The Children's Hour,1961,,108,15863.0,True,en,True
88,tt0054749,two women,nan,1960,,101,10542.0,True,pl,False
89,tt0054847,el cid,El Cid,1961,,182,13801.0,True,es,False
90,tt0054949,war of the buttons,nan,1962,,90,2543.0,True,en,True
91,tt0054997,the hustler,The Hustler,1961,,134,79893.0,True,en,True
92,tt0055747,love at twenty,nan,1962,,120,2298.0,True,en,True
93,tt0055998,freud,Freud,,1962,140,2755.0,True,de,False
94,tt0056058,hara-kiri,nan,1962,,133,50633.0,True,sw,False
95,tt0056197,the longest day,The Longest Day,1962,,178,,True,en,True
96,tt0056327,pale flower,nan,1964,,96,3520.0,True,en,True
97,tt0056415,ring of terror,Ring of Terror,1961,,71,,False,en,True
98,tt0056930,a child is waiting,nan,,1963,102,2842.0,True,en,True
99,tt0058275,lemonade joe,nan,1964,,95,2738.0,True,pt,False
100,tt0058458,the soft skin,La peau douce,1964,,113,7415.0,True,fr,False
101,tt0059199,frankenstein meets the spacemonster,nan,1965,,79,1578.0,False,en,True
102,tt0059205,frankenstein vs. baragon,Furankenshutain tai chitei kaijû Baragon,1965,,90,2083.0,False,fi,False
103,tt0059377,lady l,nan,1965,,117,1104.0,False,so,False
104,tt0059417,the holy man,Mahapurush,1965,,65,1338.0,True,id,False
105,tt0059496,the nanny,The Nanny,1965,,91,5995.0,True,en,True
106,tt0059578,for a few dollars more,Per qualche dollaro in più,1965,,132,246060.0,True,it,False
107,tt0059715,story of a prostitute,nan,1965,,96,1377.0,True,en,True
108,tt0059812,the corporal and others,nan,1965,,111,2345.0,True,en,True
109,tt0060188,the brides of fu manchu,The Brides of Fu Manchu,1966,,94,1233.0,False,en,True
110,tt0060457,the ghost in the invisible bikini,nan,1966,,82,1191.0,False,en,True
111,tt0060543,intimate lighting,Intimní osvetlení,1965,,71,1443.0,True,cs,False
112,tt0060545,i knew her well,nan,1965,,115,2475.0,True,cy,False
113,tt0060584,"kidnapping, caucasian style","Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",,1967,82,11650.0,True,sw,False
114,tt0061407,the taming of the shrew,nan,1967,,122,,True,en,True
115,tt0061452,casino royale,Casino Royale,1967,,131,29230.0,False,tl,False
116,tt0061456,catalina caper,Catalina Caper,1967,,84,2046.0,False,ca,False
117,tt0061796,hurry sundown,Hurry Sundown,1967,,146,1202.0,False,en,True
118,tt0062006,the mummy's shroud,The Mummy's Shroud,1967,,90,2005.0,False,en,True
119,tt0062138,point blank,Point Blank,1967,,92,20251.0,True,fi,False
120,tt0062235,the torture chamber of dr. sadism,nan,1967,,84,1779.0,False,en,True
121,tt0062776,candy,nan,1968,,124,3082.0,False,cy,False
122,tt0062844,custer of the west,nan,1967,,140,1420.0,False,en,True
123,tt0062898,doctor faustus,nan,1967,,93,1072.0,False,ro,False
124,tt0063218,signs of life,nan,1968,,90,2116.0,True,en,True
125,tt0063371,a report on the party and guests,nan,1966,,71,1540.0,True,en,True
126,tt0063501,the big gundown,nan,1966,,110,5988.0,True,en,True
127,tt0064147,jackal of nahueltoro,El Chacal de Nahueltoro,,1969,95,1009.0,True,es,False
128,tt0064338,the castle of fu manchu,nan,,1969,92,2080.0,False,en,True
129,tt0064356,the cow,Gaav,1969,,104,6921.0,True,fi,False
130,tt0064393,the green slime,nan,1968,,90,3534.0,False,en,True
131,tt0064866,burn!,Queimada,1969,,132,5065.0,True,so,False
132,tt0065168,the nude vampire,nan,1970,,90,,False,en,True
133,tt0065180,viimne reliikvia,nan,1969,,86,,True,et,False
134,tt0065416,aradhana,nan,1969,,169,1808.0,True,so,False
135,tt0065528,catch-22,Catch-22,1970,,122,24567.0,True,en,True
136,tt0065988,little big man,Little Big Man,1970,,139,34408.0,True,de,False
137,tt0066154,no blade of grass,No Blade of Grass,1970,,96,1729.0,False,en,True
138,tt0066728,the million dollar duck,The Million Dollar Duck,1971,,89,2271.0,False,en,True
139,tt0066919,lulu the tool,nan,1971,,125,3247.0,True,en,True
140,tt0066982,demons of the mind,nan,,1972,89,1530.0,False,en,True
141,tt0067123,gamera vs. zigra,nan,1971,,87,,False,lv,False
142,tt0067372,macbeth,nan,1971,,140,13354.0,True,cy,False
143,tt0068240,avanti!,nan,1972,,144,10122.0,True,it,False
144,tt0068257,bawarchi,Bawarchi,1972,,130,3936.0,True,pl,False
145,tt0068379,ciao manhattan,Ciao Manhattan,1972,,84,1074.0,False,pt,False
146,tt0068646,the godfather,nan,1972,,175,1725806.0,True,en,True
147,tt0068902,the italian connection,La mala ordina,1972,,95,2250.0,True,it,False
148,tt0070061,love & anarchy,nan,1973,,124,2892.0,True,sk,False
149,tt0070215,my name is nobody,nan,1973,,116,26147.0,True,sk,False
150,tt0070537,pigs,Daddy's Deadly Darling,1973,,80,1230.0,False,cy,False
151,tt0070842,turkish delight,nan,,1973,108,10696.0,True,sq,False
152,tt0072820,cooley high,nan,,1975,107,4623.0,True,en,True
153,tt0072869,the devil's rain,nan,1975,,86,4036.0,False,en,True
154,tt0073043,the giant spider invasion,nan,1975,,84,4115.0,False,en,True
155,tt0073155,that most important thing: love,L'important c'est d'aimer,1975,,109,3769.0,True,fr,False
156,tt0073679,special section,nan,1975,,118,1254.0,True,en,True
157,tt0074252,"ugly, dirty and bad",nan,1976,,115,8222.0,True,en,True
158,tt0074286,carry on england,Carry on England,,1976,89,1957.0,False,en,True
159,tt0074554,the front,The Front,1976,,95,,True,en,True
160,tt0074599,gus,nan,1976,,96,1852.0,False,et,False
161,tt0074921,most,Most,1969,,105,1086.0,True,ro,False
162,tt0076155,the man who loved women,L'homme qui aimait les femmes,1977,,120,6660.0,True,fr,False
163,tt0076312,love letters of a portuguese nun,nan,1977,,89,1089.0,False,en,True
164,tt0077292,crippled avengers,Can que,1978,,104,2395.0,True,ca,False
165,tt0077660,harper valley p.t.a.,nan,1978,,93,1098.0,False,en,True
166,tt0077745,invasion of the body snatchers,nan,1978,,115,57581.0,True,en,True
167,tt0078326,straight time,nan,1978,,114,8440.0,True,en,True
168,tt0078418,trishul,Trishul,1978,,167,2202.0,True,sq,False
169,tt0078435,message from space,Uchu kara no messeji,1978,,105,1370.0,False,sw,False
170,tt0078778,angels' brigade,nan,1979,,97,1939.0,False,da,False
171,tt0079450,the legacy,The Legacy,1978,,102,2877.0,False,en,True
172,tt0079944,stalker,nan,1979,,162,128082.0,True,no,False
173,tt0080439,the taming of the scoundrel,Il bisbetico domato,1980,,107,7780.0,True,it,False
174,tt0080486,devil hunter,El caníbal,,1980,102,1347.0,False,ca,False
175,tt0080610,the last metro,nan,1980,,131,13637.0,True,en,True
176,tt0080623,half a loaf of kung fu,nan,1978,,97,1809.0,False,en,True
177,tt0080905,fists of the white lotus,Hong Wending san po bai lian jiao,1980,,95,1593.0,True,tl,False
178,tt0080979,kagemusha,nan,1980,,180,34545.0,True,sw,False
179,tt0081250,the night of the hunted,La nuit des traquées,1980,,87,1608.0,False,fr,False
180,tt0081427,ricomincio da tre,Ricomincio da tre,1981,,110,,True,pt,False
181,tt0082094,the boogens,nan,1981,,95,2610.0,False,en,True
182,tt0082350,an eye for an eye,An Eye for an Eye,1981,,106,3840.0,False,tr,False
183,tt0083254,under the rainbow,Under the Rainbow,1981,,98,2704.0,False,en,True
184,tt0083271,vabank,Vabank,1981,,108,4238.0,True,lt,False
185,tt0083296,visiting hours,Visiting Hours,1982,,105,4095.0,False,en,True
186,tt0083922,fanny and alexander,nan,1982,,188,61602.0,True,en,True
187,tt0084504,the pirate movie,The Pirate Movie,,1982,105,4323.0,False,en,True
188,tt0084652,the seduction,The Seduction,,1982,104,1163.0,False,en,True
189,tt0085180,l'argent,nan,1983,,85,9418.0,True,ca,False
190,tt0085327,who finds a friend finds a treasure,Chi trova un amico trova un tesoro,1981,,108,11165.0,True,it,False
191,tt0085387,d.c. cab,D.C. Cab,1983,,100,,False,so,False
192,tt0085478,educating rita,Educating Rita,1983,,110,13621.0,True,en,True
193,tt0086197,the right stuff,The Right Stuff,1983,,193,59903.0,True,en,True
194,tt0086345,space raiders,Space Raiders,1983,,84,,False,en,True
195,tt0086349,spasms,nan,1983,,90,1085.0,False,lv,False
196,tt0086978,blind date,Blind Date,,1984,106,1908.0,False,de,False
197,tt0086998,breakin',nan,1984,,90,6248.0,False,en,True
198,tt0087328,the home and the world,Ghare-Baire,1984,,140,,True,fr,False
199,tt0087425,hot dog... the movie,Hot Dog ...The Movie,1983,,96,3368.0,False,en,True
200,tt0087798,night train to terror,Night Train to Terror,1985,,98,,False,en,True
201,tt0088074,secret honor,Secret Honor,1984,,90,2934.0,True,en,True
202,tt0088333,up the creek,nan,1984,,96,3449.0,False,en,True
203,tt0088763,back to the future,Back to the Future,1985,,116,1127305.0,True,en,True
204,tt0088939,the color purple,The Color Purple,1985,,154,83143.0,True,en,True
205,tt0089371,mr. vampire,Geung see sin sang,1985,,96,3835.0,True,tl,False
206,tt0089800,the feather fairy,nan,1985,,90,1153.0,True,en,True
207,tt0090660,armed and dangerous,nan,,1986,88,11241.0,False,en,True
208,tt0091149,the great mouse detective,nan,1986,,74,47842.0,True,en,True
209,tt0091671,from a whisper to a scream,nan,1987,,99,2353.0,False,en,True
210,tt0091706,out of bounds,Out of Bounds,1986,,93,1576.0,False,en,True
211,tt0091777,police academy 3: back in training,Police Academy 3: Back in Training,1986,,83,44440.0,False,en,True
212,tt0092608,back to the beach,nan,1987,,92,2918.0,False,en,True
213,tt0092695,the brave little toaster,The Brave Little Toaster,1987,,90,24998.0,True,en,True
214,tt0093223,house of games,House of Games,1987,,102,21895.0,True,en,True
215,tt0093431,the lonely passion of judith hearne,The Lonely Passion of Judith Hearne,1987,,116,1036.0,True,en,True
216,tt0093870,robocop,RoboCop,1987,,102,246467.0,True,ro,False
217,tt0093966,the sicilian,nan,1987,,115,4931.0,False,en,True
218,tt0094021,the squeeze,nan,1987,,101,1161.0,False,en,True
219,tt0094027,stand and deliver,nan,1988,,103,19598.0,True,da,False
220,tt0094701,bad dreams,nan,,1988,80,3816.0,False,cy,False
221,tt0094846,casual sex?,nan,1988,,97,4004.0,False,ca,False
222,tt0094850,cellar dweller,nan,,1987,77,2319.0,False,cy,False
223,tt0095238,the good mother,nan,1988,,104,1667.0,False,en,True
224,tt0095276,hanussen,nan,1988,,140,1701.0,True,fi,False
225,tt0095665,mr. north,Mr. North,1988,,93,1442.0,False,en,True
226,tt0095715,alice,Neco z Alenky,,1988,86,12391.0,True,sk,False
227,tt0095756,not of this earth,Not of This Earth,1988,,81,2420.0,False,en,True
228,tt0096241,the telephone,The Telephone,1988,,96,1021.0,False,en,True
229,tt0096786,alienator,nan,1990,,93,1569.0,False,it,False
230,tt0096894,"bashu, the little stranger",nan,1989,,120,2759.0,True,en,True
231,tt0096908,a city of sadness,Beiqing chengshi,1989,,157,4622.0,True,de,False
232,tt0097257,earth girls are easy,nan,1988,,100,22758.0,False,en,True
233,tt0097503,hider in the house,Hider in the House,1989,,108,1581.0,False,en,True
234,tt0097636,the jonsson gang in mallorca,Jönssonligan på Mallorca,1989,,101,3527.0,False,sv,False
235,tt0097870,forever mary,nan,1989,,102,1059.0,True,da,False
236,tt0098022,old gringo,Old Gringo,1989,,119,,False,af,False
237,tt0098649,wicked stepmother,Wicked Stepmother,1989,,90,2122.0,False,en,True
238,tt0099172,braca po materi,Braca po materi,1988,,105,1181.0,True,pt,False
239,tt0099492,the tenants,nan,1987,,109,2244.0,True,en,True
240,tt0099810,the hunt for red october,The Hunt for Red October,1990,,135,190578.0,True,en,True
241,tt0100339,patlabor: the movie,nan,1989,,100,4892.0,True,en,True
242,tt0100470,journey of hope,Reise der Hoffnung,1990,,105,2039.0,True,de,False
243,tt0100475,repossessed,nan,1990,,80,8604.0,False,pt,False
244,tt0101256,976-evil ii,nan,1991,,93,1687.0,False,et,False
245,tt0101492,body parts,Body Parts,1991,,88,4326.0,False,en,True
246,tt0101526,children of nature,nan,1991,,82,1470.0,True,en,True
247,tt0101649,thalapathi,nan,1991,,157,,True,tl,False
248,tt0101701,delirious,Delirious,1991,,96,8363.0,False,en,True
249,tt0102351,lucky luke,nan,1991,,92,3887.0,False,fi,False
250,tt0103016,switch,nan,,1991,103,,False,en,True
251,tt0103773,basket case 3,Basket Case 3,1991,,90,,False,no,False
252,tt0103848,blue ice,nan,1992,,105,1618.0,False,fr,False
253,tt0104046,daens,nan,,1992,138,4077.0,True,pt,False
254,tt0104409,hellraiser iii: hell on earth,Hellraiser III: Hell on Earth,1992,,97,29637.0,False,en,True
255,tt0104759,the lost world,The Lost World,1992,,99,1154.0,False,en,True
256,tt0104870,mikey,Mikey,1992,,92,2593.0,False,sw,False
257,tt0105395,shootfighter: fight to the death,Shootfighter: Fight to the Death,1993,,100,1193.0,False,en,True
258,tt0105477,stop! or my mom will shoot,Stop! Or My Mom Will Shoot,1992,,87,41385.0,False,en,True
259,tt0105792,waxwork ii: lost in time,Waxwork II: Lost in Time,1992,,104,4405.0,False,en,True
260,tt0105807,when the party's over,When the Party's Over,1992,,114,1054.0,False,en,True
261,tt0106185,the innocent,The Innocent,1993,,119,1559.0,False,en,True
262,tt0107156,the wedding banquet,nan,1993,,106,14993.0,True,en,True
263,tt0107611,mr. jones,Mr. Jones,1993,,114,7139.0,False,en,True
264,tt0107927,the real mccoy,The Real McCoy,1993,,105,8871.0,False,en,True
265,tt0108186,son in law,nan,,1993,95,19663.0,False,tl,False
266,tt0108194,sose halunk meg,nan,1993,,95,1783.0,True,et,False
267,tt0109277,sailor moon s: the movie - hearts in ice,nan,1994,,60,1959.0,True,en,True
268,tt0109443,clean slate,Clean Slate,1994,,107,3873.0,False,en,True
269,tt0109958,"he's a woman, she's a man",Gam chi yuk yip,1994,,107,1052.0,True,sw,False
270,tt0110280,revolutionary,Krantiveer,1994,,159,2032.0,True,nl,False
271,tt0110361,lisbon story,Lisbon Story,1994,,100,4833.0,True,en,True
272,tt0110882,before the rain,nan,1994,,113,14587.0,True,en,True
273,tt0111161,the shawshank redemption,The Shawshank Redemption,1994,,142,2503641.0,True,en,True
274,tt0112342,the amazing panda adventure,nan,1995,,84,4089.0,False,en,True
275,tt0112634,carnosaur 2,Carnosaur 2,1995,,83,2048.0,False,es,False
276,tt0112767,cyclo,nan,1995,,123,4995.0,True,cy,False
277,tt0113049,fermo posta tinto brass,nan,1995,,81,1517.0,False,pt,False
278,tt0113063,the final cut,nan,,1995,96,,False,en,True
279,tt0113443,it's my party,nan,1996,,110,2998.0,True,en,True
280,tt0113674,live nude girls,nan,1995,,95,1841.0,False,da,False
281,tt0113808,miami rhapsody,Miami Rhapsody,1995,,95,3309.0,False,cy,False
282,tt0113845,money train,Money Train,1995,,110,40354.0,False,en,True
283,tt0113870,murder in the first,nan,1995,,122,27861.0,True,en,True
284,tt0114193,project: metalbeast,nan,,1995,92,,False,hr,False
285,tt0114429,shirli-myrli,Shirli-myrli,1995,,143,,True,tr,False
286,tt0114781,under siege 2: dark territory,Under Siege 2: Dark Territory,1995,,100,,False,de,False
287,tt0114996,a chinese odyssey: part 2 - cinderella,nan,1995,,98,6989.0,True,en,True
288,tt0115742,boys,Boys,1996,,86,3644.0,False,so,False
289,tt0115794,bambola,nan,1996,,92,,False,sw,False
290,tt0115836,carpool,nan,1996,,89,4803.0,False,ro,False
291,tt0116116,devil's island,nan,1996,,99,,True,nl,False
292,tt0116225,escape from l.a.,nan,1996,,101,73011.0,False,ca,False
293,tt0116308,fire,Fire,1996,,108,5941.0,True,de,False
294,tt0116311,first kid,nan,1996,,101,10750.0,False,da,False
295,tt0116506,hearts & minds,nan,1995,,100,3321.0,False,en,True
296,tt0117128,mystery science theater 3000: the movie,Mystery Science Theater 3000: The Movie,1996,,73,,True,en,True
297,tt0117238,omega doom,nan,1996,,84,3087.0,False,so,False
298,tt0117477,ridicule,nan,1996,,102,7489.0,True,ro,False
299,tt0118011,premeditated murder,Ubistvo s predumisljajem,1995,,94,1865.0,True,hr,False
300,tt0118521,u2: zoo tv live from sydney,U2: Zoo TV Live from Sydney,1994,,118,1068.0,True,en,True
301,tt0118541,8 heads in a duffel bag,8 Heads in a Duffel Bag,1997,,95,10279.0,False,en,True
302,tt0118589,glitter,Glitter,2001,,104,,False,de,False
303,tt0118660,auzaar,nan,1997,,127,1039.0,False,sw,False
304,tt0119086,excess baggage,nan,1997,,101,,False,pt,False
305,tt0119177,gattaca,Gattaca,1997,,106,292512.0,True,it,False
306,tt0119247,half a chance,1 chance sur 2,1998,,104,2598.0,False,fr,False
307,tt0119626,martin (hache),Martín (Hache),1997,,123,4178.0,True,de,False
308,tt0119640,mchale's navy,McHale's Navy,1997,,108,,False,sk,False
309,tt0119815,four days in september,nan,1997,,110,4854.0,True,en,True
310,tt0119820,ogifta par ...en film som skiljer sig,Ogifta par ...en film som skiljer sig,1997,,90,1277.0,False,sv,False
311,tt0120036,rosewood,Rosewood,1997,,140,,True,af,False
312,tt0120255,the sweet hereafter,nan,1997,,112,34541.0,True,en,True
313,tt0120472,waco: the rules of engagement,nan,1997,,136,3509.0,True,en,True
314,tt0120576,dance with me,Dance with Me,1998,,126,6324.0,False,en,True
315,tt0120577,54,54,1998,,93,32722.0,False,unknown,False
316,tt0122037,the dead pit,nan,1989,,95,,False,en,True
317,tt0124770,patlabor 2: the movie,Kidô keisatsu patorebâ: The Movie 2,1993,,113,4011.0,True,et,False
318,tt0126886,election,nan,1999,,103,,True,en,True
319,tt0128232,ghost keeper,Ghostkeeper,1981,,89,1044.0,False,af,False
320,tt0128442,rounders,nan,1998,,121,147567.0,True,en,True
321,tt0128985,chalti ka naam gaadi,nan,1958,,173,1589.0,True,so,False
322,tt0134614,the girls,nan,1962,,98,3671.0,True,en,True
323,tt0139239,go,nan,1999,,102,70324.0,True,cy,False
324,tt0140448,pathinaru vayathinile,nan,1977,,139,1083.0,True,sw,False
325,tt0141824,the inheritors,Die Siebtelbauern,1998,,95,1155.0,True,de,False
326,tt0145503,sunshine,nan,1999,,181,14812.0,True,en,True
327,tt0145547,two hands,Two Hands,1999,,103,12330.0,True,en,True
328,tt0149568,aa ab laut chalen,nan,1999,,177,1721.0,False,fr,False
329,tt0151691,my name is joe,My Name Is Joe,1998,,105,8228.0,True,en,True
330,tt0156901,the apple,nan,1998,,86,2339.0,True,en,True
331,tt0160127,charlie's angels,Charlie's Angels,2000,,98,183257.0,False,nl,False
332,tt0160298,trippin',Trippin',1999,,94,1315.0,False,tl,False
333,tt0162211,deadly instincts,nan,1997,,90,1173.0,False,en,True
334,tt0162866,the emperor and the assassin,Jing Ke ci Qin Wang,1998,,162,6144.0,True,id,False
335,tt0164114,drive me crazy,Drive Me Crazy,1999,,91,19166.0,False,hr,False
336,tt0169828,father of a soldier,Jariskatsis mama,1964,,87,4133.0,True,et,False
337,tt0171227,diplomatic siege,nan,1999,,90,1470.0,False,it,False
338,tt0172519,guddu,nan,1995,,160,2328.0,False,cy,False
339,tt0172627,body shots,nan,1999,,106,5424.0,False,en,True
340,tt0177226,sisters of death,nan,1976,,87,,False,en,True
341,tt0177698,miss director,Dis diefthyntis,1964,,96,1408.0,True,af,False
342,tt0177789,galaxy quest,Galaxy Quest,,1999,102,,True,so,False
343,tt0179182,forever mine,nan,1999,,115,2475.0,False,da,False
344,tt0182000,the caveman's valentine,The Caveman's Valentine,2001,,105,7842.0,False,en,True
345,tt0183306,jinnah,nan,1998,,110,2866.0,True,sw,False
346,tt0184756,mr. muhsin,Muhsin Bey,1987,,119,10620.0,True,de,False
347,tt0186895,les boys iii,nan,2001,,124,1118.0,False,fr,False
348,tt0187231,barking at the stars,Lajanje na zvezde,1998,,95,7218.0,True,sl,False
349,tt0188055,mercy,Mercy,2000,,117,2237.0,False,cy,False
350,tt0192731,urban legends: final cut,nan,,2000,97,17138.0,False,ca,False
351,tt0195909,meeting people is easy,Meeting People Is Easy,1998,,99,3146.0,True,en,True
352,tt0197384,crime + punishment in suburbia,nan,2000,,100,3342.0,False,ro,False
353,tt0199481,druids,Vercingétorix,2001,,120,5268.0,False,pt,False
354,tt0209189,not one less,Yi ge dou bu neng shao,1999,,106,8650.0,True,id,False
355,tt0210701,german fried movie,German Fried Movie,1992,,88,1309.0,False,af,False
356,tt0211915,amelie,nan,2001,,122,730484.0,True,da,False
357,tt0212712,2046,nan,2004,,129,55758.0,True,unknown,False
358,tt0212720,a.i. artificial intelligence,A.I. Artificial Intelligence,2001,,146,,True,it,False
359,tt0214915,manichithrathazhu,nan,1993,,169,10013.0,True,en,True
360,tt0227194,one 2 ka 4,One 2 Ka 4,2001,,169,5013.0,False,hr,False
361,tt0229371,an evening of edgar allan poe,An Evening of Edgar Allan Poe,1970,,53,1008.0,True,en,True
362,tt0233600,tokyo raiders,Dong jing gong lüe,,2000,118,2499.0,False,tl,False
363,tt0234837,suzhou river,nan,2000,,83,4673.0,True,cs,False
